# Trace from filein = ./62270a01                                                                                                                   
#   time        NE0                                                                                                                          
   2.0000E+00   3.4132E+01
   2.0000E+00   3.4181E+01
   2.0000E+00   3.4236E+01
   2.0001E+00   3.4295E+01
   2.0001E+00   3.4358E+01
   2.0001E+00   3.4424E+01
   2.0001E+00   3.4491E+01
   2.0001E+00   3.4559E+01
   2.0001E+00   3.4627E+01
   2.0001E+00   3.4695E+01
   2.0001E+00   3.4763E+01
   2.0002E+00   3.4830E+01
   2.0002E+00   3.4897E+01
   2.0002E+00   3.4964E+01
   2.0002E+00   3.5032E+01
   2.0002E+00   3.5103E+01
   2.0002E+00   3.5178E+01
   2.0003E+00   3.5262E+01
   2.0003E+00   3.5360E+01
   2.0003E+00   3.5483E+01
   2.0003E+00   3.5496E+01
   2.0004E+00   3.5523E+01
   2.0005E+00   3.5556E+01
   2.0006E+00   3.5581E+01
   2.0007E+00   3.5593E+01
   2.0007E+00   3.5599E+01
   2.0008E+00   3.5604E+01
   2.0008E+00   3.5611E+01
   2.0009E+00   3.5618E+01
   2.0009E+00   3.5627E+01
   2.0010E+00   3.5638E+01
   2.0011E+00   3.5652E+01
   2.0011E+00   3.5669E+01
   2.0013E+00   3.5690E+01
   2.0014E+00   3.5712E+01
   2.0015E+00   3.5737E+01
   2.0017E+00   3.5764E+01
   2.0018E+00   3.5794E+01
   2.0020E+00   3.5826E+01
   2.0022E+00   3.5859E+01
   2.0024E+00   3.5891E+01
   2.0026E+00   3.5921E+01
   2.0028E+00   3.5948E+01
   2.0030E+00   3.5968E+01
   2.0031E+00   3.5984E+01
   2.0032E+00   3.5996E+01
   2.0033E+00   3.6008E+01
   2.0034E+00   3.6020E+01
   2.0035E+00   3.6034E+01
   2.0036E+00   3.6050E+01
   2.0038E+00   3.6069E+01
   2.0040E+00   3.6088E+01
   2.0041E+00   3.6107E+01
   2.0043E+00   3.6123E+01
   2.0044E+00   3.6136E+01
   2.0045E+00   3.6151E+01
   2.0047E+00   3.6169E+01
   2.0049E+00   3.6194E+01
   2.0053E+00   3.6235E+01
   2.0060E+00   3.6303E+01
   2.0072E+00   3.6431E+01
   2.0083E+00   3.6549E+01
   2.0099E+00   3.6707E+01
   2.0126E+00   3.6968E+01
   2.0172E+00   3.7378E+01
   2.0237E+00   3.7924E+01
   2.0312E+00   3.8485E+01
   2.0387E+00   3.8980E+01
   2.0462E+00   3.9424E+01
   2.0537E+00   3.9834E+01
   2.0593E+00   4.0117E+01
   2.0668E+00   4.0496E+01
   2.0742E+00   4.0871E+01
   2.0817E+00   4.1239E+01
   2.0893E+00   4.1598E+01
   2.0968E+00   4.1949E+01
   2.1036E+00   4.2259E+01
   2.1106E+00   4.2563E+01
   2.1181E+00   4.2878E+01
   2.1256E+00   4.3173E+01
   2.1266E+00   4.3212E+01
   2.1284E+00   4.3279E+01
   2.1288E+00   4.3296E+01
   2.1293E+00   4.3314E+01
   2.1295E+00   4.3318E+01
   2.1296E+00   4.3322E+01
   2.1297E+00   4.3324E+01
   2.1298E+00   4.3327E+01
   2.1300E+00   4.3334E+01
   2.1304E+00   4.3349E+01
   2.1311E+00   4.3374E+01
   2.1321E+00   4.3416E+01
   2.1340E+00   4.3484E+01
   2.1373E+00   4.3587E+01
   2.1430E+00   4.3740E+01
   2.1505E+00   4.3924E+01
   2.1580E+00   4.4094E+01
   2.1655E+00   4.4246E+01
   2.1730E+00   4.4389E+01
   2.1805E+00   4.4527E+01
   2.1880E+00   4.4610E+01
   2.1955E+00   4.4700E+01
   2.2030E+00   4.4795E+01
   2.2105E+00   4.4892E+01
   2.2180E+00   4.4989E+01
   2.2255E+00   4.5088E+01
   2.2330E+00   4.5186E+01
   2.2405E+00   4.5283E+01
   2.2480E+00   4.5379E+01
   2.2555E+00   4.5474E+01
   2.2630E+00   4.5568E+01
   2.2705E+00   4.5659E+01
   2.2780E+00   4.5748E+01
   2.2855E+00   4.5834E+01
   2.2930E+00   4.5917E+01
   2.3005E+00   4.5997E+01
   2.3080E+00   4.6074E+01
   2.3155E+00   4.6149E+01
   2.3230E+00   4.6220E+01
   2.3305E+00   4.6289E+01
   2.3380E+00   4.6406E+01
   2.3439E+00   4.6488E+01
   2.3514E+00   4.6572E+01
   2.3589E+00   4.6644E+01
   2.3664E+00   4.6706E+01
   2.3739E+00   4.6761E+01
   2.3814E+00   4.6811E+01
   2.3889E+00   4.6858E+01
   2.3964E+00   4.6902E+01
   2.4039E+00   4.6944E+01
   2.4114E+00   4.6982E+01
   2.4189E+00   4.7018E+01
   2.4264E+00   4.7052E+01
   2.4339E+00   4.7084E+01
   2.4414E+00   4.7114E+01
   2.4489E+00   4.7142E+01
   2.4564E+00   4.7169E+01
   2.4639E+00   4.7196E+01
   2.4714E+00   4.7224E+01
   2.4789E+00   4.7251E+01
   2.4864E+00   4.7296E+01
   2.4910E+00   4.7328E+01
   2.4941E+00   4.7352E+01
   2.4964E+00   4.7372E+01
   2.4989E+00   4.7389E+01
   2.5008E+00   4.7400E+01
   2.5008E+00   4.7400E+01
   2.5008E+00   4.7400E+01
   2.5008E+00   4.7401E+01
   2.5008E+00   4.7401E+01
   2.5008E+00   4.7401E+01
   2.5008E+00   4.7401E+01
   2.5008E+00   4.7401E+01
   2.5008E+00   4.7401E+01
   2.5008E+00   4.7401E+01
   2.5008E+00   4.7401E+01
   2.5008E+00   4.7401E+01
   2.5008E+00   4.7401E+01
   2.5008E+00   4.7400E+01
   2.5008E+00   4.7400E+01
   2.5008E+00   4.7398E+01
   2.5009E+00   4.7397E+01
   2.5010E+00   4.7394E+01
   2.5012E+00   4.7390E+01
   2.5013E+00   4.7385E+01
   2.5015E+00   4.7381E+01
   2.5018E+00   4.7376E+01
   2.5018E+00   4.7374E+01
   2.5019E+00   4.7373E+01
   2.5019E+00   4.7372E+01
   2.5020E+00   4.7371E+01
   2.5020E+00   4.7369E+01
   2.5021E+00   4.7366E+01
   2.5024E+00   4.7362E+01
   2.5027E+00   4.7357E+01
   2.5034E+00   4.7349E+01
   2.5043E+00   4.7341E+01
   2.5055E+00   4.7333E+01
   2.5069E+00   4.7329E+01
   2.5083E+00   4.7326E+01
   2.5104E+00   4.7305E+01
   2.5131E+00   4.7285E+01
   2.5159E+00   4.7269E+01
   2.5177E+00   4.7259E+01
   2.5190E+00   4.7253E+01
   2.5201E+00   4.7248E+01
   2.5205E+00   4.7245E+01
   2.5213E+00   4.7241E+01
   2.5225E+00   4.7235E+01
   2.5241E+00   4.7229E+01
   2.5249E+00   4.7224E+01
   2.5264E+00   4.7217E+01
   2.5284E+00   4.7210E+01
   2.5284E+00   4.7210E+01
   2.5284E+00   4.7210E+01
   2.5284E+00   4.7210E+01
   2.5284E+00   4.7210E+01
   2.5284E+00   4.7210E+01
   2.5284E+00   4.7210E+01
   2.5284E+00   4.7209E+01
   2.5284E+00   4.7209E+01
   2.5284E+00   4.7209E+01
   2.5284E+00   4.7209E+01
   2.5284E+00   4.7209E+01
   2.5284E+00   4.7209E+01
   2.5285E+00   4.7209E+01
   2.5285E+00   4.7209E+01
   2.5286E+00   4.7209E+01
   2.5287E+00   4.7210E+01
   2.5289E+00   4.7213E+01
   2.5290E+00   4.7214E+01
   2.5292E+00   4.7215E+01
   2.5292E+00   4.7216E+01
   2.5293E+00   4.7217E+01
   2.5293E+00   4.7217E+01
   2.5293E+00   4.7217E+01
   2.5293E+00   4.7217E+01
   2.5294E+00   4.7217E+01
   2.5294E+00   4.7218E+01
   2.5294E+00   4.7218E+01
   2.5294E+00   4.7218E+01
   2.5294E+00   4.7218E+01
   2.5294E+00   4.7218E+01
   2.5294E+00   4.7218E+01
   2.5294E+00   4.7217E+01
   2.5295E+00   4.7217E+01
   2.5295E+00   4.7217E+01
   2.5296E+00   4.7216E+01
   2.5297E+00   4.7215E+01
   2.5299E+00   4.7213E+01
   2.5302E+00   4.7210E+01
   2.5305E+00   4.7208E+01
   2.5308E+00   4.7205E+01
   2.5312E+00   4.7201E+01
   2.5315E+00   4.7197E+01
   2.5320E+00   4.7193E+01
   2.5326E+00   4.7187E+01
   2.5335E+00   4.7178E+01
   2.5351E+00   4.7164E+01
   2.5379E+00   4.7139E+01
   2.5426E+00   4.7093E+01
   2.5501E+00   4.7016E+01
   2.5576E+00   4.6937E+01
   2.5578E+00   4.6940E+01
   2.5578E+00   4.6941E+01
   2.5578E+00   4.6942E+01
   2.5578E+00   4.6943E+01
   2.5578E+00   4.6944E+01
   2.5578E+00   4.6945E+01
   2.5578E+00   4.6946E+01
   2.5578E+00   4.6948E+01
   2.5578E+00   4.6950E+01
   2.5578E+00   4.6951E+01
   2.5578E+00   4.6954E+01
   2.5578E+00   4.6956E+01
   2.5578E+00   4.6959E+01
   2.5578E+00   4.6962E+01
   2.5578E+00   4.6963E+01
   2.5578E+00   4.6964E+01
   2.5578E+00   4.6964E+01
   2.5579E+00   4.6964E+01
   2.5579E+00   4.6963E+01
   2.5579E+00   4.6963E+01
   2.5579E+00   4.6962E+01
   2.5579E+00   4.6962E+01
   2.5579E+00   4.6962E+01
   2.5580E+00   4.6962E+01
   2.5580E+00   4.6962E+01
   2.5580E+00   4.6961E+01
   2.5580E+00   4.6961E+01
   2.5580E+00   4.6961E+01
   2.5580E+00   4.6961E+01
   2.5580E+00   4.6960E+01
   2.5580E+00   4.6960E+01
   2.5581E+00   4.6960E+01
   2.5581E+00   4.6959E+01
   2.5582E+00   4.6958E+01
   2.5583E+00   4.6957E+01
   2.5584E+00   4.6956E+01
   2.5585E+00   4.6955E+01
   2.5586E+00   4.6953E+01
   2.5588E+00   4.6951E+01
   2.5590E+00   4.6949E+01
   2.5593E+00   4.6954E+01
   2.5599E+00   4.6963E+01
   2.5599E+00   4.6963E+01
   2.5600E+00   4.6964E+01
   2.5601E+00   4.6966E+01
   2.5602E+00   4.6968E+01
   2.5603E+00   4.6970E+01
   2.5605E+00   4.6973E+01
   2.5605E+00   4.6973E+01
   2.5605E+00   4.6973E+01
   2.5605E+00   4.6973E+01
   2.5605E+00   4.6973E+01
   2.5605E+00   4.6973E+01
   2.5606E+00   4.6973E+01
   2.5607E+00   4.6975E+01
   2.5608E+00   4.6977E+01
   2.5610E+00   4.6981E+01
   2.5614E+00   4.6988E+01
   2.5621E+00   4.7000E+01
   2.5633E+00   4.7022E+01
   2.5633E+00   4.7022E+01
   2.5633E+00   4.7022E+01
   2.5633E+00   4.7022E+01
   2.5633E+00   4.7022E+01
   2.5633E+00   4.7022E+01
   2.5633E+00   4.7022E+01
   2.5633E+00   4.7021E+01
   2.5633E+00   4.7021E+01
   2.5633E+00   4.7021E+01
   2.5633E+00   4.7021E+01
   2.5633E+00   4.7021E+01
   2.5634E+00   4.7022E+01
   2.5635E+00   4.7024E+01
   2.5636E+00   4.7028E+01
   2.5636E+00   4.7028E+01
   2.5636E+00   4.7029E+01
   2.5636E+00   4.7029E+01
   2.5636E+00   4.7029E+01
   2.5636E+00   4.7028E+01
   2.5637E+00   4.7028E+01
   2.5637E+00   4.7028E+01
   2.5637E+00   4.7028E+01
   2.5638E+00   4.7028E+01
   2.5638E+00   4.7028E+01
   2.5639E+00   4.7028E+01
   2.5640E+00   4.7029E+01
   2.5643E+00   4.7029E+01
   2.5646E+00   4.7029E+01
   2.5652E+00   4.7029E+01
   2.5663E+00   4.7028E+01
   2.5675E+00   4.7026E+01
   2.5677E+00   4.7026E+01
   2.5680E+00   4.7026E+01
   2.5686E+00   4.7025E+01
   2.5690E+00   4.7024E+01
   2.5695E+00   4.7022E+01
   2.5704E+00   4.7020E+01
   2.5719E+00   4.7015E+01
   2.5744E+00   4.7005E+01
   2.5788E+00   4.6986E+01
   2.5837E+00   4.7025E+01
   2.5838E+00   4.7025E+01
   2.5839E+00   4.7024E+01
   2.5839E+00   4.7024E+01
   2.5839E+00   4.7023E+01
   2.5840E+00   4.7023E+01
   2.5840E+00   4.7023E+01
   2.5840E+00   4.7022E+01
   2.5840E+00   4.7022E+01
   2.5840E+00   4.7022E+01
   2.5840E+00   4.7022E+01
   2.5840E+00   4.7021E+01
   2.5841E+00   4.7021E+01
   2.5842E+00   4.7021E+01
   2.5843E+00   4.7020E+01
   2.5844E+00   4.7020E+01
   2.5847E+00   4.7020E+01
   2.5849E+00   4.7021E+01
   2.5851E+00   4.7022E+01
   2.5853E+00   4.7023E+01
   2.5857E+00   4.7024E+01
   2.5859E+00   4.7025E+01
   2.5861E+00   4.7026E+01
   2.5865E+00   4.7028E+01
   2.5869E+00   4.7029E+01
   2.5869E+00   4.7029E+01
   2.5869E+00   4.7029E+01
   2.5869E+00   4.7029E+01
   2.5869E+00   4.7029E+01
   2.5869E+00   4.7029E+01
   2.5869E+00   4.7029E+01
   2.5869E+00   4.7029E+01
   2.5869E+00   4.7029E+01
   2.5869E+00   4.7029E+01
   2.5870E+00   4.7029E+01
   2.5870E+00   4.7029E+01
   2.5870E+00   4.7029E+01
   2.5870E+00   4.7030E+01
   2.5870E+00   4.7030E+01
   2.5870E+00   4.7030E+01
   2.5870E+00   4.7030E+01
   2.5870E+00   4.7030E+01
   2.5870E+00   4.7030E+01
   2.5870E+00   4.7030E+01
