# Trace from filein = ./62270a01                                                                                                                   
#   time        NEVAVO                                                                                                                       
   2.0000E+00   2.0959E+01
   2.0000E+00   2.1036E+01
   2.0000E+00   2.1120E+01
   2.0001E+00   2.1213E+01
   2.0001E+00   2.1312E+01
   2.0001E+00   2.1416E+01
   2.0001E+00   2.1524E+01
   2.0001E+00   2.1635E+01
   2.0001E+00   2.1747E+01
   2.0001E+00   2.1860E+01
   2.0001E+00   2.1973E+01
   2.0002E+00   2.2087E+01
   2.0002E+00   2.2200E+01
   2.0002E+00   2.2315E+01
   2.0002E+00   2.2433E+01
   2.0002E+00   2.2558E+01
   2.0002E+00   2.2692E+01
   2.0003E+00   2.2843E+01
   2.0003E+00   2.3021E+01
   2.0003E+00   2.3249E+01
   2.0003E+00   2.3543E+01
   2.0004E+00   2.3964E+01
   2.0005E+00   2.4315E+01
   2.0006E+00   2.4452E+01
   2.0007E+00   2.4438E+01
   2.0007E+00   2.4385E+01
   2.0008E+00   2.4331E+01
   2.0008E+00   2.4290E+01
   2.0009E+00   2.4262E+01
   2.0009E+00   2.4246E+01
   2.0010E+00   2.4236E+01
   2.0011E+00   2.4230E+01
   2.0011E+00   2.4225E+01
   2.0013E+00   2.4219E+01
   2.0014E+00   2.4210E+01
   2.0015E+00   2.4199E+01
   2.0017E+00   2.4185E+01
   2.0018E+00   2.4170E+01
   2.0020E+00   2.4152E+01
   2.0022E+00   2.4133E+01
   2.0024E+00   2.4131E+01
   2.0026E+00   2.4110E+01
   2.0028E+00   2.4083E+01
   2.0030E+00   2.4057E+01
   2.0031E+00   2.4036E+01
   2.0032E+00   2.4020E+01
   2.0033E+00   2.4006E+01
   2.0034E+00   2.3994E+01
   2.0035E+00   2.3982E+01
   2.0036E+00   2.3970E+01
   2.0038E+00   2.3956E+01
   2.0040E+00   2.3942E+01
   2.0041E+00   2.3927E+01
   2.0043E+00   2.3913E+01
   2.0044E+00   2.3900E+01
   2.0045E+00   2.3886E+01
   2.0047E+00   2.3871E+01
   2.0049E+00   2.3854E+01
   2.0053E+00   2.3835E+01
   2.0060E+00   2.3811E+01
   2.0072E+00   2.3732E+01
   2.0083E+00   2.3671E+01
   2.0099E+00   2.3613E+01
   2.0126E+00   2.3554E+01
   2.0172E+00   2.3480E+01
   2.0237E+00   2.3364E+01
   2.0312E+00   2.3172E+01
   2.0387E+00   2.2920E+01
   2.0462E+00   2.2640E+01
   2.0537E+00   2.2355E+01
   2.0593E+00   2.2127E+01
   2.0668E+00   2.1912E+01
   2.0742E+00   2.1744E+01
   2.0817E+00   2.1618E+01
   2.0893E+00   2.1516E+01
   2.0968E+00   2.1440E+01
   2.1036E+00   2.1380E+01
   2.1106E+00   2.1332E+01
   2.1181E+00   2.1285E+01
   2.1256E+00   2.1240E+01
   2.1266E+00   2.1245E+01
   2.1284E+00   2.1246E+01
   2.1288E+00   2.1238E+01
   2.1293E+00   2.1225E+01
   2.1295E+00   2.1219E+01
   2.1296E+00   2.1208E+01
   2.1297E+00   2.1200E+01
   2.1298E+00   2.1189E+01
   2.1300E+00   2.1177E+01
   2.1304E+00   2.1165E+01
   2.1311E+00   2.1154E+01
   2.1321E+00   2.1145E+01
   2.1340E+00   2.1131E+01
   2.1373E+00   2.1116E+01
   2.1430E+00   2.1093E+01
   2.1505E+00   2.1062E+01
   2.1580E+00   2.1017E+01
   2.1655E+00   2.0962E+01
   2.1730E+00   2.0900E+01
   2.1805E+00   2.0856E+01
   2.1880E+00   2.0839E+01
   2.1955E+00   2.0828E+01
   2.2030E+00   2.0812E+01
   2.2105E+00   2.0798E+01
   2.2180E+00   2.0776E+01
   2.2255E+00   2.0758E+01
   2.2330E+00   2.0736E+01
   2.2405E+00   2.0722E+01
   2.2480E+00   2.0706E+01
   2.2555E+00   2.0701E+01
   2.2630E+00   2.0694E+01
   2.2705E+00   2.0696E+01
   2.2780E+00   2.0695E+01
   2.2855E+00   2.0702E+01
   2.2930E+00   2.0703E+01
   2.3005E+00   2.0711E+01
   2.3080E+00   2.0713E+01
   2.3155E+00   2.0721E+01
   2.3230E+00   2.0723E+01
   2.3305E+00   2.0731E+01
   2.3380E+00   2.0813E+01
   2.3439E+00   2.0847E+01
   2.3514E+00   2.0848E+01
   2.3589E+00   2.0836E+01
   2.3664E+00   2.0819E+01
   2.3739E+00   2.0811E+01
   2.3814E+00   2.0812E+01
   2.3889E+00   2.0825E+01
   2.3964E+00   2.0847E+01
   2.4039E+00   2.0874E+01
   2.4114E+00   2.0904E+01
   2.4189E+00   2.0932E+01
   2.4264E+00   2.0956E+01
   2.4339E+00   2.0977E+01
   2.4414E+00   2.0993E+01
   2.4489E+00   2.1008E+01
   2.4564E+00   2.1019E+01
   2.4639E+00   2.1031E+01
   2.4714E+00   2.1041E+01
   2.4789E+00   2.1053E+01
   2.4864E+00   2.0950E+01
   2.4910E+00   2.0930E+01
   2.4941E+00   2.0959E+01
   2.4964E+00   2.1011E+01
   2.4989E+00   2.1059E+01
   2.5008E+00   2.1109E+01
   2.5008E+00   2.1109E+01
   2.5008E+00   2.1115E+01
   2.5008E+00   2.1121E+01
   2.5008E+00   2.1126E+01
   2.5008E+00   2.1127E+01
   2.5008E+00   2.1128E+01
   2.5008E+00   2.1129E+01
   2.5008E+00   2.1129E+01
   2.5008E+00   2.1129E+01
   2.5008E+00   2.1128E+01
   2.5008E+00   2.1127E+01
   2.5008E+00   2.1126E+01
   2.5008E+00   2.1126E+01
   2.5008E+00   2.1126E+01
   2.5008E+00   2.1129E+01
   2.5009E+00   2.1132E+01
   2.5010E+00   2.1134E+01
   2.5012E+00   2.1135E+01
   2.5013E+00   2.1135E+01
   2.5015E+00   2.1132E+01
   2.5018E+00   2.1129E+01
   2.5018E+00   2.1129E+01
   2.5019E+00   2.1122E+01
   2.5019E+00   2.1119E+01
   2.5020E+00   2.1116E+01
   2.5020E+00   2.1114E+01
   2.5021E+00   2.1113E+01
   2.5024E+00   2.1113E+01
   2.5027E+00   2.1113E+01
   2.5034E+00   2.1112E+01
   2.5043E+00   2.1111E+01
   2.5055E+00   2.1105E+01
   2.5069E+00   2.1096E+01
   2.5083E+00   2.1084E+01
   2.5104E+00   2.1014E+01
   2.5131E+00   2.0976E+01
   2.5159E+00   2.0971E+01
   2.5177E+00   2.0998E+01
   2.5190E+00   2.1035E+01
   2.5201E+00   2.1074E+01
   2.5205E+00   2.1088E+01
   2.5213E+00   2.1111E+01
   2.5225E+00   2.1131E+01
   2.5241E+00   2.1152E+01
   2.5249E+00   2.1160E+01
   2.5264E+00   2.1161E+01
   2.5284E+00   2.1161E+01
   2.5284E+00   2.1161E+01
   2.5284E+00   2.1161E+01
   2.5284E+00   2.1161E+01
   2.5284E+00   2.1161E+01
   2.5284E+00   2.1161E+01
   2.5284E+00   2.1161E+01
   2.5284E+00   2.1160E+01
   2.5284E+00   2.1160E+01
   2.5284E+00   2.1159E+01
   2.5284E+00   2.1158E+01
   2.5284E+00   2.1156E+01
   2.5284E+00   2.1154E+01
   2.5285E+00   2.1153E+01
   2.5285E+00   2.1152E+01
   2.5286E+00   2.1152E+01
   2.5287E+00   2.1153E+01
   2.5289E+00   2.1155E+01
   2.5290E+00   2.1154E+01
   2.5292E+00   2.1156E+01
   2.5292E+00   2.1155E+01
   2.5293E+00   2.1157E+01
   2.5293E+00   2.1157E+01
   2.5293E+00   2.1158E+01
   2.5293E+00   2.1158E+01
   2.5294E+00   2.1158E+01
   2.5294E+00   2.1158E+01
   2.5294E+00   2.1158E+01
   2.5294E+00   2.1158E+01
   2.5294E+00   2.1158E+01
   2.5294E+00   2.1157E+01
   2.5294E+00   2.1159E+01
   2.5294E+00   2.1160E+01
   2.5295E+00   2.1158E+01
   2.5295E+00   2.1157E+01
   2.5296E+00   2.1157E+01
   2.5297E+00   2.1159E+01
   2.5299E+00   2.1161E+01
   2.5302E+00   2.1163E+01
   2.5305E+00   2.1166E+01
   2.5308E+00   2.1167E+01
   2.5312E+00   2.1170E+01
   2.5315E+00   2.1171E+01
   2.5320E+00   2.1174E+01
   2.5326E+00   2.1177E+01
   2.5335E+00   2.1182E+01
   2.5351E+00   2.1187E+01
   2.5379E+00   2.1197E+01
   2.5426E+00   2.1208E+01
   2.5501E+00   2.1233E+01
   2.5576E+00   2.1265E+01
   2.5578E+00   2.1265E+01
   2.5578E+00   2.1270E+01
   2.5578E+00   2.1275E+01
   2.5578E+00   2.1281E+01
   2.5578E+00   2.1287E+01
