# Trace from filein = ./62270a01                                                                                                                   
#   time        NI0                                                                                                                          
   2.0000E+00   2.7882E+01
   2.0000E+00   2.7931E+01
   2.0000E+00   2.7984E+01
   2.0001E+00   2.8043E+01
   2.0001E+00   2.8105E+01
   2.0001E+00   2.8170E+01
   2.0001E+00   2.8236E+01
   2.0001E+00   2.8303E+01
   2.0001E+00   2.8370E+01
   2.0001E+00   2.8437E+01
   2.0001E+00   2.8503E+01
   2.0002E+00   2.8569E+01
   2.0002E+00   2.8635E+01
   2.0002E+00   2.8700E+01
   2.0002E+00   2.8767E+01
   2.0002E+00   2.8836E+01
   2.0002E+00   2.8911E+01
   2.0003E+00   2.8993E+01
   2.0003E+00   2.9088E+01
   2.0003E+00   2.9208E+01
   2.0003E+00   2.9217E+01
   2.0004E+00   2.9236E+01
   2.0005E+00   2.9260E+01
   2.0006E+00   2.9275E+01
   2.0007E+00   2.9281E+01
   2.0007E+00   2.9282E+01
   2.0008E+00   2.9284E+01
   2.0008E+00   2.9286E+01
   2.0009E+00   2.9289E+01
   2.0009E+00   2.9294E+01
   2.0010E+00   2.9300E+01
   2.0011E+00   2.9308E+01
   2.0011E+00   2.9318E+01
   2.0013E+00   2.9330E+01
   2.0014E+00   2.9344E+01
   2.0015E+00   2.9360E+01
   2.0017E+00   2.9377E+01
   2.0018E+00   2.9397E+01
   2.0020E+00   2.9419E+01
   2.0022E+00   2.9441E+01
   2.0024E+00   2.9463E+01
   2.0026E+00   2.9483E+01
   2.0028E+00   2.9501E+01
   2.0030E+00   2.9514E+01
   2.0031E+00   2.9524E+01
   2.0032E+00   2.9533E+01
   2.0033E+00   2.9540E+01
   2.0034E+00   2.9549E+01
   2.0035E+00   2.9558E+01
   2.0036E+00   2.9569E+01
   2.0038E+00   2.9581E+01
   2.0040E+00   2.9595E+01
   2.0041E+00   2.9608E+01
   2.0043E+00   2.9619E+01
   2.0044E+00   2.9628E+01
   2.0045E+00   2.9639E+01
   2.0047E+00   2.9651E+01
   2.0049E+00   2.9669E+01
   2.0053E+00   2.9699E+01
   2.0060E+00   2.9752E+01
   2.0072E+00   2.9853E+01
   2.0083E+00   2.9947E+01
   2.0099E+00   3.0077E+01
   2.0126E+00   3.0306E+01
   2.0172E+00   3.0687E+01
   2.0237E+00   3.1223E+01
   2.0312E+00   3.1798E+01
   2.0387E+00   3.2327E+01
   2.0462E+00   3.2826E+01
   2.0537E+00   3.3305E+01
   2.0593E+00   3.3645E+01
   2.0668E+00   3.4119E+01
   2.0742E+00   3.4600E+01
   2.0817E+00   3.5085E+01
   2.0893E+00   3.5572E+01
   2.0968E+00   3.6057E+01
   2.1036E+00   3.6501E+01
   2.1106E+00   3.6946E+01
   2.1181E+00   3.7415E+01
   2.1256E+00   3.7873E+01
   2.1266E+00   3.7945E+01
   2.1284E+00   3.8061E+01
   2.1288E+00   3.8090E+01
   2.1293E+00   3.8122E+01
   2.1295E+00   3.8131E+01
   2.1296E+00   3.8139E+01
   2.1297E+00   3.8142E+01
   2.1298E+00   3.8149E+01
   2.1300E+00   3.8163E+01
   2.1304E+00   3.8187E+01
   2.1311E+00   3.8228E+01
   2.1321E+00   3.8295E+01
   2.1340E+00   3.8402E+01
   2.1373E+00   3.8569E+01
   2.1430E+00   3.8826E+01
   2.1505E+00   3.9143E+01
   2.1580E+00   3.9446E+01
   2.1655E+00   3.9734E+01
   2.1730E+00   4.0011E+01
   2.1805E+00   4.0282E+01
   2.1880E+00   4.0502E+01
   2.1955E+00   4.0726E+01
   2.2030E+00   4.0951E+01
   2.2105E+00   4.1174E+01
   2.2180E+00   4.1396E+01
   2.2255E+00   4.1614E+01
   2.2330E+00   4.1828E+01
   2.2405E+00   4.2039E+01
   2.2480E+00   4.2245E+01
   2.2555E+00   4.2448E+01
   2.2630E+00   4.2646E+01
   2.2705E+00   4.2840E+01
   2.2780E+00   4.3029E+01
   2.2855E+00   4.3212E+01
   2.2930E+00   4.3390E+01
   2.3005E+00   4.3562E+01
   2.3080E+00   4.3728E+01
   2.3155E+00   4.3890E+01
   2.3230E+00   4.4045E+01
   2.3305E+00   4.4195E+01
   2.3380E+00   4.4359E+01
   2.3439E+00   4.4484E+01
   2.3514E+00   4.4628E+01
   2.3589E+00   4.4764E+01
   2.3664E+00   4.4892E+01
   2.3739E+00   4.5015E+01
   2.3814E+00   4.5133E+01
   2.3889E+00   4.5249E+01
   2.3964E+00   4.5362E+01
   2.4039E+00   4.5472E+01
   2.4114E+00   4.5578E+01
   2.4189E+00   4.5681E+01
   2.4264E+00   4.5781E+01
   2.4339E+00   4.5876E+01
   2.4414E+00   4.5967E+01
   2.4489E+00   4.6055E+01
   2.4564E+00   4.6140E+01
   2.4639E+00   4.6222E+01
   2.4714E+00   4.6302E+01
   2.4789E+00   4.6380E+01
   2.4864E+00   4.6488E+01
   2.4910E+00   4.6568E+01
   2.4941E+00   4.6627E+01
   2.4964E+00   4.6675E+01
   2.4989E+00   4.6719E+01
   2.5008E+00   4.6753E+01
   2.5008E+00   4.6753E+01
   2.5008E+00   4.6753E+01
   2.5008E+00   4.6753E+01
   2.5008E+00   4.6754E+01
   2.5008E+00   4.6754E+01
   2.5008E+00   4.6754E+01
   2.5008E+00   4.6754E+01
   2.5008E+00   4.6754E+01
   2.5008E+00   4.6754E+01
   2.5008E+00   4.6754E+01
   2.5008E+00   4.6754E+01
   2.5008E+00   4.6754E+01
   2.5008E+00   4.6754E+01
   2.5008E+00   4.6754E+01
   2.5008E+00   4.6754E+01
   2.5009E+00   4.6753E+01
   2.5010E+00   4.6753E+01
   2.5012E+00   4.6752E+01
   2.5013E+00   4.6751E+01
   2.5015E+00   4.6750E+01
   2.5018E+00   4.6748E+01
   2.5018E+00   4.6748E+01
   2.5019E+00   4.6747E+01
   2.5019E+00   4.6747E+01
   2.5020E+00   4.6746E+01
   2.5020E+00   4.6746E+01
   2.5021E+00   4.6745E+01
   2.5024E+00   4.6744E+01
   2.5027E+00   4.6743E+01
   2.5034E+00   4.6742E+01
   2.5043E+00   4.6743E+01
   2.5055E+00   4.6746E+01
   2.5069E+00   4.6751E+01
   2.5083E+00   4.6759E+01
   2.5104E+00   4.6753E+01
   2.5131E+00   4.6748E+01
   2.5159E+00   4.6748E+01
   2.5177E+00   4.6749E+01
   2.5190E+00   4.6752E+01
   2.5201E+00   4.6754E+01
   2.5205E+00   4.6755E+01
   2.5213E+00   4.6756E+01
   2.5225E+00   4.6759E+01
   2.5241E+00   4.6761E+01
   2.5249E+00   4.6762E+01
   2.5264E+00   4.6763E+01
   2.5284E+00   4.6765E+01
   2.5284E+00   4.6765E+01
   2.5284E+00   4.6765E+01
   2.5284E+00   4.6765E+01
   2.5284E+00   4.6765E+01
   2.5284E+00   4.6765E+01
   2.5284E+00   4.6765E+01
   2.5284E+00   4.6765E+01
   2.5284E+00   4.6765E+01
   2.5284E+00   4.6765E+01
   2.5284E+00   4.6765E+01
   2.5284E+00   4.6765E+01
   2.5284E+00   4.6765E+01
   2.5285E+00   4.6765E+01
   2.5285E+00   4.6766E+01
   2.5286E+00   4.6767E+01
   2.5287E+00   4.6769E+01
   2.5289E+00   4.6773E+01
   2.5290E+00   4.6775E+01
   2.5292E+00   4.6778E+01
   2.5292E+00   4.6780E+01
   2.5293E+00   4.6781E+01
   2.5293E+00   4.6782E+01
   2.5293E+00   4.6782E+01
   2.5293E+00   4.6782E+01
   2.5294E+00   4.6782E+01
   2.5294E+00   4.6782E+01
   2.5294E+00   4.6782E+01
   2.5294E+00   4.6782E+01
   2.5294E+00   4.6782E+01
   2.5294E+00   4.6783E+01
   2.5294E+00   4.6783E+01
   2.5294E+00   4.6783E+01
   2.5295E+00   4.6783E+01
   2.5295E+00   4.6783E+01
   2.5296E+00   4.6782E+01
   2.5297E+00   4.6782E+01
   2.5299E+00   4.6782E+01
   2.5302E+00   4.6782E+01
   2.5305E+00   4.6781E+01
   2.5308E+00   4.6780E+01
   2.5312E+00   4.6779E+01
   2.5315E+00   4.6778E+01
   2.5320E+00   4.6776E+01
   2.5326E+00   4.6774E+01
   2.5335E+00   4.6771E+01
   2.5351E+00   4.6764E+01
   2.5379E+00   4.6750E+01
   2.5426E+00   4.6718E+01
   2.5501E+00   4.6655E+01
   2.5576E+00   4.6591E+01
