# Trace from filein = ./62270a01                                                                                                                   
#   time        POHT                                                                                                                         
   2.0000E+00   4.6264E-01
   2.0000E+00   4.6615E-01
   2.0000E+00   4.6857E-01
   2.0001E+00   4.7039E-01
   2.0001E+00   4.7181E-01
   2.0001E+00   4.7292E-01
   2.0001E+00   4.7384E-01
   2.0001E+00   4.7462E-01
   2.0001E+00   4.7527E-01
   2.0001E+00   4.7580E-01
   2.0001E+00   4.7633E-01
   2.0002E+00   4.7682E-01
   2.0002E+00   4.7729E-01
   2.0002E+00   4.7774E-01
   2.0002E+00   4.7815E-01
   2.0002E+00   4.7858E-01
   2.0002E+00   4.7903E-01
   2.0003E+00   4.7951E-01
   2.0003E+00   4.8005E-01
   2.0003E+00   4.8069E-01
   2.0003E+00   4.8152E-01
   2.0004E+00   4.8229E-01
   2.0005E+00   4.8317E-01
   2.0006E+00   4.8262E-01
   2.0007E+00   4.8063E-01
   2.0007E+00   4.7853E-01
   2.0008E+00   4.7685E-01
   2.0008E+00   4.7528E-01
   2.0009E+00   4.7381E-01
   2.0009E+00   4.7239E-01
   2.0010E+00   4.7094E-01
   2.0011E+00   4.6938E-01
   2.0011E+00   4.6759E-01
   2.0013E+00   4.6551E-01
   2.0014E+00   4.6313E-01
   2.0015E+00   4.6052E-01
   2.0017E+00   4.5770E-01
   2.0018E+00   4.5468E-01
   2.0020E+00   4.5139E-01
   2.0022E+00   4.4792E-01
   2.0024E+00   4.4442E-01
   2.0026E+00   4.4074E-01
   2.0028E+00   4.3708E-01
   2.0030E+00   4.3391E-01
   2.0031E+00   4.3138E-01
   2.0032E+00   4.2943E-01
   2.0033E+00   4.2784E-01
   2.0034E+00   4.2636E-01
   2.0035E+00   4.2483E-01
   2.0036E+00   4.2313E-01
   2.0038E+00   4.2118E-01
   2.0040E+00   4.1899E-01
   2.0041E+00   4.1668E-01
   2.0043E+00   4.1442E-01
   2.0044E+00   4.1252E-01
   2.0045E+00   4.1093E-01
   2.0047E+00   4.0909E-01
   2.0049E+00   4.0701E-01
   2.0053E+00   4.0409E-01
   2.0060E+00   3.9946E-01
   2.0072E+00   3.9211E-01
   2.0083E+00   3.8071E-01
   2.0099E+00   3.7108E-01
   2.0126E+00   3.5928E-01
   2.0172E+00   3.4277E-01
   2.0237E+00   3.2211E-01
   2.0312E+00   3.0044E-01
   2.0387E+00   2.8164E-01
   2.0462E+00   2.6664E-01
   2.0537E+00   2.5435E-01
   2.0593E+00   2.4405E-01
   2.0668E+00   2.3719E-01
   2.0742E+00   2.3017E-01
   2.0817E+00   2.2444E-01
   2.0893E+00   2.1969E-01
   2.0968E+00   2.1584E-01
   2.1036E+00   2.1266E-01
   2.1106E+00   2.1015E-01
   2.1181E+00   2.0797E-01
   2.1256E+00   2.0590E-01
   2.1266E+00   2.0411E-01
   2.1284E+00   2.0389E-01
   2.1288E+00   2.0346E-01
   2.1293E+00   2.0327E-01
   2.1295E+00   2.0305E-01
   2.1296E+00   2.0296E-01
   2.1297E+00   2.0285E-01
   2.1298E+00   2.0277E-01
   2.1300E+00   2.0264E-01
   2.1304E+00   2.0249E-01
   2.1311E+00   2.0231E-01
   2.1321E+00   2.0209E-01
   2.1340E+00   2.0177E-01
   2.1373E+00   2.0123E-01
   2.1430E+00   2.0032E-01
   2.1505E+00   1.9877E-01
   2.1580E+00   1.9688E-01
   2.1655E+00   1.9494E-01
   2.1730E+00   1.9303E-01
   2.1805E+00   1.9144E-01
   2.1880E+00   1.9011E-01
   2.1955E+00   1.8865E-01
   2.2030E+00   1.8736E-01
   2.2105E+00   1.8610E-01
   2.2180E+00   1.8497E-01
   2.2255E+00   1.8385E-01
   2.2330E+00   1.8286E-01
   2.2405E+00   1.8189E-01
   2.2480E+00   1.8107E-01
   2.2555E+00   1.8027E-01
   2.2630E+00   1.7964E-01
   2.2705E+00   1.7900E-01
   2.2780E+00   1.7851E-01
   2.2855E+00   1.7800E-01
   2.2930E+00   1.7760E-01
   2.3005E+00   1.7716E-01
   2.3080E+00   1.7682E-01
   2.3155E+00   1.7642E-01
   2.3230E+00   1.7612E-01
   2.3305E+00   1.7576E-01
   2.3380E+00   1.7550E-01
   2.3439E+00   1.7586E-01
   2.3514E+00   1.7584E-01
