# Trace from filein = ./62270a01                                                                                                                   
#   time        PRAD                                                                                                                         
   2.0000E+00  -2.6516E-01
   2.0000E+00  -2.6596E-01
   2.0000E+00  -2.6646E-01
   2.0001E+00  -2.6687E-01
   2.0001E+00  -2.6723E-01
   2.0001E+00  -2.6757E-01
   2.0001E+00  -2.6792E-01
   2.0001E+00  -2.6830E-01
   2.0001E+00  -2.6869E-01
   2.0001E+00  -2.6907E-01
   2.0001E+00  -2.6946E-01
   2.0002E+00  -2.6985E-01
   2.0002E+00  -2.7024E-01
   2.0002E+00  -2.7064E-01
   2.0002E+00  -2.7103E-01
   2.0002E+00  -2.7144E-01
   2.0002E+00  -2.7186E-01
   2.0003E+00  -2.7232E-01
   2.0003E+00  -2.7285E-01
   2.0003E+00  -2.7349E-01
   2.0003E+00  -2.6194E-01
   2.0004E+00  -2.4645E-01
   2.0005E+00  -2.1235E-01
   2.0006E+00  -1.8438E-01
   2.0007E+00  -1.6373E-01
   2.0007E+00  -1.5088E-01
   2.0008E+00  -1.4920E-01
   2.0008E+00  -1.5237E-01
   2.0009E+00  -1.5620E-01
   2.0009E+00  -1.5890E-01
   2.0010E+00  -1.6014E-01
   2.0011E+00  -1.6028E-01
   2.0011E+00  -1.5976E-01
   2.0013E+00  -1.5894E-01
   2.0014E+00  -1.5799E-01
   2.0015E+00  -1.5707E-01
   2.0017E+00  -1.5622E-01
   2.0018E+00  -1.5546E-01
   2.0020E+00  -1.5471E-01
   2.0022E+00  -1.5394E-01
   2.0024E+00  -1.5434E-01
   2.0026E+00  -1.5255E-01
   2.0028E+00  -1.5136E-01
   2.0030E+00  -1.5062E-01
   2.0031E+00  -1.5020E-01
   2.0032E+00  -1.5003E-01
   2.0033E+00  -1.5002E-01
   2.0034E+00  -1.5002E-01
   2.0035E+00  -1.4996E-01
   2.0036E+00  -1.4982E-01
   2.0038E+00  -1.4959E-01
   2.0040E+00  -1.4928E-01
   2.0041E+00  -1.4890E-01
   2.0043E+00  -1.4847E-01
   2.0044E+00  -1.4808E-01
   2.0045E+00  -1.4794E-01
   2.0047E+00  -1.4786E-01
   2.0049E+00  -1.4785E-01
   2.0053E+00  -1.4782E-01
   2.0060E+00  -1.4768E-01
   2.0072E+00  -1.4687E-01
   2.0083E+00  -1.4594E-01
   2.0099E+00  -1.4568E-01
   2.0126E+00  -1.4570E-01
   2.0172E+00  -1.4557E-01
   2.0237E+00  -1.4500E-01
   2.0312E+00  -1.4382E-01
   2.0387E+00  -1.4253E-01
   2.0462E+00  -1.4154E-01
   2.0537E+00  -1.4071E-01
   2.0593E+00  -1.3968E-01
   2.0668E+00  -1.3948E-01
   2.0742E+00  -1.3900E-01
   2.0817E+00  -1.3862E-01
   2.0893E+00  -1.3823E-01
   2.0968E+00  -1.3787E-01
   2.1036E+00  -1.3751E-01
   2.1106E+00  -1.3718E-01
   2.1181E+00  -1.3685E-01
   2.1256E+00  -1.3647E-01
   2.1266E+00  -1.3614E-01
   2.1284E+00  -1.3598E-01
   2.1288E+00  -1.3575E-01
   2.1293E+00  -1.3551E-01
   2.1295E+00  -1.3527E-01
   2.1296E+00  -1.3485E-01
   2.1297E+00  -1.3444E-01
   2.1298E+00  -1.3465E-01
   2.1300E+00  -1.3499E-01
   2.1304E+00  -1.3526E-01
   2.1311E+00  -1.3538E-01
   2.1321E+00  -1.3541E-01
   2.1340E+00  -1.3536E-01
   2.1373E+00  -1.3528E-01
   2.1430E+00  -1.3519E-01
   2.1505E+00  -1.3500E-01
   2.1580E+00  -1.3473E-01
   2.1655E+00  -1.3444E-01
   2.1730E+00  -1.3407E-01
   2.1805E+00  -1.3376E-01
   2.1880E+00  -1.3362E-01
   2.1955E+00  -1.3345E-01
   2.2030E+00  -1.3328E-01
   2.2105E+00  -1.3309E-01
   2.2180E+00  -1.3292E-01
   2.2255E+00  -1.3273E-01
   2.2330E+00  -1.3256E-01
   2.2405E+00  -1.3238E-01
   2.2480E+00  -1.3223E-01
   2.2555E+00  -1.3207E-01
   2.2630E+00  -1.3194E-01
   2.2705E+00  -1.3180E-01
   2.2780E+00  -1.3168E-01
   2.2855E+00  -1.3155E-01
   2.2930E+00  -1.3144E-01
   2.3005E+00  -1.3132E-01
   2.3080E+00  -1.3121E-01
   2.3155E+00  -1.3110E-01
   2.3230E+00  -1.3100E-01
   2.3305E+00  -1.3089E-01
   2.3380E+00  -1.3124E-01
   2.3439E+00  -1.3119E-01
   2.3514E+00  -1.3109E-01
   2.3589E+00  -1.3094E-01
   2.3664E+00  -1.3081E-01
   2.3739E+00  -1.3069E-01
   2.3814E+00  -1.3061E-01
   2.3889E+00  -1.3056E-01
   2.3964E+00  -1.3052E-01
   2.4039E+00  -1.3050E-01
   2.4114E+00  -1.3048E-01
   2.4189E+00  -1.3046E-01
   2.4264E+00  -1.3044E-01
   2.4339E+00  -1.3040E-01
   2.4414E+00  -1.3036E-01
   2.4489E+00  -1.3032E-01
   2.4564E+00  -1.3028E-01
   2.4639E+00  -1.3024E-01
   2.4714E+00  -1.3021E-01
   2.4789E+00  -1.3018E-01
   2.4864E+00  -1.2992E-01
   2.4910E+00  -1.2991E-01
   2.4941E+00  -1.3013E-01
   2.4964E+00  -1.3038E-01
   2.4989E+00  -1.3046E-01
   2.5008E+00  -1.3055E-01
   2.5008E+00  -1.3049E-01
   2.5008E+00  -1.6271E-01
   2.5008E+00  -1.6844E-01
   2.5008E+00  -1.6015E-01
   2.5008E+00  -1.4716E-01
   2.5008E+00  -1.4816E-01
   2.5008E+00  -1.4064E-01
   2.5008E+00  -1.2684E-01
   2.5008E+00  -1.2685E-01
   2.5008E+00  -1.2684E-01
   2.5008E+00  -1.2684E-01
   2.5008E+00  -1.2819E-01
   2.5008E+00  -1.2958E-01
   2.5008E+00  -1.3042E-01
   2.5008E+00  -1.3104E-01
   2.5009E+00  -1.3080E-01
   2.5010E+00  -1.3055E-01
   2.5012E+00  -1.3035E-01
   2.5013E+00  -1.3020E-01
   2.5015E+00  -1.3009E-01
   2.5018E+00  -1.3003E-01
   2.5018E+00  -1.2999E-01
   2.5019E+00  -1.2814E-01
   2.5019E+00  -1.2866E-01
   2.5020E+00  -1.2935E-01
   2.5020E+00  -1.2983E-01
   2.5021E+00  -1.3005E-01
   2.5024E+00  -1.3012E-01
   2.5027E+00  -1.3012E-01
   2.5034E+00  -1.3010E-01
   2.5043E+00  -1.3006E-01
   2.5055E+00  -1.3000E-01
   2.5069E+00  -1.2993E-01
   2.5083E+00  -1.2987E-01
   2.5104E+00  -1.2952E-01
   2.5131E+00  -1.2966E-01
   2.5159E+00  -1.2981E-01
   2.5177E+00  -1.3006E-01
   2.5190E+00  -1.3034E-01
   2.5201E+00  -1.3049E-01
   2.5205E+00  -1.3048E-01
   2.5213E+00  -1.3050E-01
   2.5225E+00  -1.3042E-01
   2.5241E+00  -1.3036E-01
   2.5249E+00  -1.3030E-01
   2.5264E+00  -1.3022E-01
   2.5284E+00  -1.3019E-01
   2.5284E+00  -1.3017E-01
   2.5284E+00  -1.2684E-01
   2.5284E+00  -1.2684E-01
   2.5284E+00  -1.2684E-01
   2.5284E+00  -1.2684E-01
   2.5284E+00  -1.2684E-01
   2.5284E+00  -1.2684E-01
   2.5284E+00  -1.2684E-01
   2.5284E+00  -1.2684E-01
   2.5284E+00  -1.2684E-01
   2.5284E+00  -1.2717E-01
   2.5284E+00  -1.2838E-01
   2.5285E+00  -1.2938E-01
   2.5285E+00  -1.2994E-01
   2.5286E+00  -1.3017E-01
   2.5287E+00  -1.3024E-01
   2.5289E+00  -1.3025E-01
