# Trace from filein = ./62270a01                                                                                                                   
#   time        TE0                                                                                                                          
   2.0000E+00   9.9853E-01
   2.0000E+00   9.9773E-01
   2.0000E+00   9.9686E-01
   2.0001E+00   9.9592E-01
   2.0001E+00   9.9494E-01
   2.0001E+00   9.9393E-01
   2.0001E+00   9.9291E-01
   2.0001E+00   9.9189E-01
   2.0001E+00   9.9088E-01
   2.0001E+00   9.8989E-01
   2.0001E+00   9.8891E-01
   2.0002E+00   9.8795E-01
   2.0002E+00   9.8701E-01
   2.0002E+00   9.8608E-01
   2.0002E+00   9.8515E-01
   2.0002E+00   9.8419E-01
   2.0002E+00   9.8319E-01
   2.0003E+00   9.8209E-01
   2.0003E+00   9.8084E-01
   2.0003E+00   9.7932E-01
   2.0003E+00   9.8169E-01
   2.0004E+00   9.8565E-01
   2.0005E+00   9.9157E-01
   2.0006E+00   9.9757E-01
   2.0007E+00   1.0018E+00
   2.0007E+00   1.0046E+00
   2.0008E+00   1.0073E+00
   2.0008E+00   1.0100E+00
   2.0009E+00   1.0128E+00
   2.0009E+00   1.0159E+00
   2.0010E+00   1.0194E+00
   2.0011E+00   1.0236E+00
   2.0011E+00   1.0287E+00
   2.0013E+00   1.0345E+00
   2.0014E+00   1.0411E+00
   2.0015E+00   1.0483E+00
   2.0017E+00   1.0561E+00
   2.0018E+00   1.0647E+00
   2.0020E+00   1.0739E+00
   2.0022E+00   1.0833E+00
   2.0024E+00   1.0938E+00
   2.0026E+00   1.1041E+00
   2.0028E+00   1.1130E+00
   2.0030E+00   1.1201E+00
   2.0031E+00   1.1256E+00
   2.0032E+00   1.1302E+00
   2.0033E+00   1.1344E+00
   2.0034E+00   1.1389E+00
   2.0035E+00   1.1439E+00
   2.0036E+00   1.1497E+00
   2.0038E+00   1.1563E+00
   2.0040E+00   1.1633E+00
   2.0041E+00   1.1703E+00
   2.0043E+00   1.1761E+00
   2.0044E+00   1.1810E+00
   2.0045E+00   1.1866E+00
   2.0047E+00   1.1931E+00
   2.0049E+00   1.2021E+00
   2.0053E+00   1.2168E+00
   2.0060E+00   1.2406E+00
   2.0072E+00   1.2776E+00
   2.0083E+00   1.3098E+00
   2.0099E+00   1.3506E+00
   2.0126E+00   1.4106E+00
   2.0172E+00   1.4899E+00
