# Trace from filein = ./62270a01                                                                                                                   
#   time        TI0                                                                                                                          
   2.0000E+00   9.9536E-01
   2.0000E+00   9.9274E-01
   2.0000E+00   9.8990E-01
   2.0001E+00   9.8684E-01
   2.0001E+00   9.8365E-01
   2.0001E+00   9.8037E-01
   2.0001E+00   9.7707E-01
   2.0001E+00   9.7378E-01
   2.0001E+00   9.7053E-01
   2.0001E+00   9.6734E-01
   2.0001E+00   9.6422E-01
   2.0002E+00   9.6117E-01
   2.0002E+00   9.5818E-01
   2.0002E+00   9.5523E-01
   2.0002E+00   9.5229E-01
   2.0002E+00   9.4927E-01
   2.0002E+00   9.4612E-01
   2.0003E+00   9.4269E-01
   2.0003E+00   9.3881E-01
   2.0003E+00   9.3410E-01
   2.0003E+00   9.3553E-01
   2.0004E+00   9.3752E-01
   2.0005E+00   9.3979E-01
   2.0006E+00   9.4175E-01
   2.0007E+00   9.4307E-01
   2.0007E+00   9.4392E-01
   2.0008E+00   9.4470E-01
   2.0008E+00   9.4548E-01
   2.0009E+00   9.4629E-01
   2.0009E+00   9.4716E-01
   2.0010E+00   9.4811E-01
   2.0011E+00   9.4919E-01
   2.0011E+00   9.5038E-01
   2.0013E+00   9.5168E-01
   2.0014E+00   9.5304E-01
   2.0015E+00   9.5444E-01
   2.0017E+00   9.5587E-01
   2.0018E+00   9.5736E-01
   2.0020E+00   9.5889E-01
   2.0022E+00   9.6040E-01
   2.0024E+00   9.6195E-01
   2.0026E+00   9.6346E-01
   2.0028E+00   9.6478E-01
   2.0030E+00   9.6584E-01
   2.0031E+00   9.6667E-01
   2.0032E+00   9.6737E-01
   2.0033E+00   9.6801E-01
   2.0034E+00   9.6868E-01
   2.0035E+00   9.6942E-01
   2.0036E+00   9.7027E-01
   2.0038E+00   9.7123E-01
   2.0040E+00   9.7225E-01
   2.0041E+00   9.7326E-01
   2.0043E+00   9.7413E-01
   2.0044E+00   9.7485E-01
   2.0045E+00   9.7570E-01
   2.0047E+00   9.7666E-01
   2.0049E+00   9.7806E-01
   2.0053E+00   9.8045E-01
   2.0060E+00   9.8489E-01
   2.0072E+00   9.9337E-01
   2.0083E+00   1.0010E+00
   2.0099E+00   1.0122E+00
   2.0126E+00   1.0322E+00
   2.0172E+00   1.0645E+00
   2.0237E+00   1.1054E+00
   2.0312E+00   1.1447E+00
   2.0387E+00   1.1784E+00
   2.0462E+00   1.2078E+00
   2.0537E+00   1.2337E+00
   2.0593E+00   1.2514E+00
   2.0668E+00   1.2717E+00
   2.0742E+00   1.2890E+00
   2.0817E+00   1.3040E+00
   2.0893E+00   1.3171E+00
   2.0968E+00   1.3285E+00
   2.1036E+00   1.3381E+00
   2.1106E+00   1.3469E+00
   2.1181E+00   1.3552E+00
   2.1256E+00   1.3631E+00
   2.1266E+00   1.3654E+00
   2.1284E+00   1.3703E+00
   2.1288E+00   1.3714E+00
   2.1293E+00   1.3727E+00
   2.1295E+00   1.3730E+00
   2.1296E+00   1.3734E+00
   2.1297E+00   1.3736E+00
   2.1298E+00   1.3740E+00
   2.1300E+00   1.3747E+00
   2.1304E+00   1.3757E+00
   2.1311E+00   1.3776E+00
   2.1321E+00   1.3811E+00
   2.1340E+00   1.3871E+00
   2.1373E+00   1.3968E+00
   2.1430E+00   1.4109E+00
   2.1505E+00   1.4263E+00
   2.1580E+00   1.4403E+00
   2.1655E+00   1.4532E+00
   2.1730E+00   1.4648E+00
   2.1805E+00   1.4751E+00
   2.1880E+00   1.4873E+00
   2.1955E+00   1.4982E+00
   2.2030E+00   1.5079E+00
   2.2105E+00   1.5169E+00
   2.2180E+00   1.5251E+00
   2.2255E+00   1.5326E+00
   2.2330E+00   1.5396E+00
   2.2405E+00   1.5460E+00
   2.2480E+00   1.5519E+00
   2.2555E+00   1.5573E+00
   2.2630E+00   1.5623E+00
   2.2705E+00   1.5668E+00
   2.2780E+00   1.5709E+00
   2.2855E+00   1.5746E+00
   2.2930E+00   1.5781E+00
   2.3005E+00   1.5812E+00
   2.3080E+00   1.5840E+00
   2.3155E+00   1.5865E+00
   2.3230E+00   1.5889E+00
   2.3305E+00   1.5910E+00
   2.3380E+00   1.5970E+00
   2.3439E+00   1.6020E+00
   2.3514E+00   1.6069E+00
   2.3589E+00   1.6113E+00
   2.3664E+00   1.6154E+00
   2.3739E+00   1.6190E+00
   2.3814E+00   1.6222E+00
   2.3889E+00   1.6250E+00
   2.3964E+00   1.6274E+00
   2.4039E+00   1.6293E+00
   2.4114E+00   1.6308E+00
   2.4189E+00   1.6320E+00
   2.4264E+00   1.6329E+00
   2.4339E+00   1.6336E+00
