# Trace from filein = ./62270a01                                                                                                                   
#   time        WTOT                                                                                                                         
   2.0000E+00   1.5888E-02
   2.0000E+00   1.5906E-02
   2.0000E+00   1.5928E-02
   2.0001E+00   1.5952E-02
   2.0001E+00   1.5979E-02
   2.0001E+00   1.6006E-02
   2.0001E+00   1.6035E-02
   2.0001E+00   1.6065E-02
   2.0001E+00   1.6096E-02
   2.0001E+00   1.6127E-02
   2.0001E+00   1.6159E-02
   2.0002E+00   1.6191E-02
   2.0002E+00   1.6223E-02
   2.0002E+00   1.6256E-02
   2.0002E+00   1.6289E-02
   2.0002E+00   1.6325E-02
   2.0002E+00   1.6363E-02
   2.0003E+00   1.6406E-02
   2.0003E+00   1.6455E-02
   2.0003E+00   1.6517E-02
   2.0003E+00   1.6603E-02
   2.0004E+00   1.6723E-02
   2.0005E+00   1.6850E-02
   2.0006E+00   1.6939E-02
   2.0007E+00   1.6975E-02
   2.0007E+00   1.6985E-02
   2.0008E+00   1.6994E-02
   2.0008E+00   1.7007E-02
   2.0009E+00   1.7026E-02
   2.0009E+00   1.7050E-02
   2.0010E+00   1.7079E-02
   2.0011E+00   1.7116E-02
   2.0011E+00   1.7159E-02
   2.0013E+00   1.7209E-02
   2.0014E+00   1.7264E-02
   2.0015E+00   1.7322E-02
   2.0017E+00   1.7386E-02
   2.0018E+00   1.7455E-02
   2.0020E+00   1.7529E-02
   2.0022E+00   1.7603E-02
   2.0024E+00   1.7693E-02
   2.0026E+00   1.7777E-02
   2.0028E+00   1.7847E-02
   2.0030E+00   1.7902E-02
   2.0031E+00   1.7945E-02
   2.0032E+00   1.7980E-02
   2.0033E+00   1.8014E-02
   2.0034E+00   1.8049E-02
   2.0035E+00   1.8089E-02
   2.0036E+00   1.8136E-02
   2.0038E+00   1.8189E-02
   2.0040E+00   1.8246E-02
   2.0041E+00   1.8302E-02
   2.0043E+00   1.8349E-02
   2.0044E+00   1.8388E-02
   2.0045E+00   1.8433E-02
   2.0047E+00   1.8484E-02
   2.0049E+00   1.8559E-02
   2.0053E+00   1.8682E-02
   2.0060E+00   1.8886E-02
   2.0072E+00   1.9228E-02
   2.0083E+00   1.9533E-02
   2.0099E+00   1.9933E-02
   2.0126E+00   2.0551E-02
   2.0172E+00   2.1415E-02
   2.0237E+00   2.2422E-02
   2.0312E+00   2.3352E-02
   2.0387E+00   2.4102E-02
   2.0462E+00   2.4713E-02
   2.0537E+00   2.5194E-02
   2.0593E+00   2.5501E-02
   2.0668E+00   2.5805E-02
   2.0742E+00   2.6052E-02
   2.0817E+00   2.6268E-02
   2.0893E+00   2.6428E-02
   2.0968E+00   2.6559E-02
   2.1036E+00   2.6656E-02
   2.1106E+00   2.6737E-02
   2.1181E+00   2.6809E-02
   2.1256E+00   2.6867E-02
   2.1266E+00   2.6907E-02
   2.1284E+00   2.6968E-02
   2.1288E+00   2.6986E-02
   2.1293E+00   2.7004E-02
   2.1295E+00   2.7009E-02
   2.1296E+00   2.7014E-02
   2.1297E+00   2.7017E-02
   2.1298E+00   2.7021E-02
   2.1300E+00   2.7029E-02
   2.1304E+00   2.7042E-02
   2.1311E+00   2.7061E-02
   2.1321E+00   2.7098E-02
   2.1340E+00   2.7147E-02
   2.1373E+00   2.7224E-02
   2.1430E+00   2.7340E-02
   2.1505E+00   2.7470E-02
   2.1580E+00   2.7597E-02
   2.1655E+00   2.7720E-02
   2.1730E+00   2.7784E-02
   2.1805E+00   2.7839E-02
   2.1880E+00   2.7985E-02
   2.1955E+00   2.8116E-02
   2.2030E+00   2.8234E-02
   2.2105E+00   2.8338E-02
   2.2180E+00   2.8430E-02
   2.2255E+00   2.8509E-02
   2.2330E+00   2.8579E-02
   2.2405E+00   2.8640E-02
   2.2480E+00   2.8693E-02
   2.2555E+00   2.8740E-02
   2.2630E+00   2.8781E-02
   2.2705E+00   2.8818E-02
   2.2780E+00   2.8851E-02
   2.2855E+00   2.8881E-02
   2.2930E+00   2.8908E-02
   2.3005E+00   2.8932E-02
   2.3080E+00   2.8955E-02
   2.3155E+00   2.8975E-02
   2.3230E+00   2.8995E-02
   2.3305E+00   2.9012E-02
   2.3380E+00   2.9045E-02
   2.3439E+00   2.9075E-02
   2.3514E+00   2.9105E-02
   2.3589E+00   2.9130E-02
   2.3664E+00   2.9152E-02
   2.3739E+00   2.9170E-02
   2.3814E+00   2.9187E-02
   2.3889E+00   2.9204E-02
   2.3964E+00   2.9221E-02
   2.4039E+00   2.9238E-02
   2.4114E+00   2.9257E-02
   2.4189E+00   2.9277E-02
   2.4264E+00   2.9297E-02
   2.4339E+00   2.9316E-02
   2.4414E+00   2.9335E-02
   2.4489E+00   2.9353E-02
   2.4564E+00   2.9370E-02
   2.4639E+00   2.9386E-02
   2.4714E+00   2.9402E-02
   2.4789E+00   2.9416E-02
   2.4864E+00   2.9491E-02
   2.4910E+00   2.9540E-02
   2.4941E+00   2.9578E-02
   2.4964E+00   2.9611E-02
   2.4989E+00   2.9647E-02
   2.5008E+00   2.9678E-02
   2.5008E+00   2.9678E-02
   2.5008E+00   2.9678E-02
   2.5008E+00   2.9679E-02
   2.5008E+00   2.9679E-02
   2.5008E+00   2.9679E-02
   2.5008E+00   2.9679E-02
   2.5008E+00   2.9679E-02
   2.5008E+00   2.9679E-02
   2.5008E+00   2.9679E-02
   2.5008E+00   2.9679E-02
   2.5008E+00   2.9679E-02
   2.5008E+00   2.9679E-02
   2.5008E+00   2.9679E-02
   2.5008E+00   2.9680E-02
   2.5008E+00   2.9681E-02
   2.5009E+00   2.9683E-02
   2.5010E+00   2.9686E-02
   2.5012E+00   2.9690E-02
   2.5013E+00   2.9695E-02
   2.5015E+00   2.9700E-02
   2.5018E+00   2.9706E-02
   2.5018E+00   2.9707E-02
   2.5019E+00   2.9708E-02
   2.5019E+00   2.9708E-02
   2.5020E+00   2.9709E-02
   2.5020E+00   2.9711E-02
   2.5021E+00   2.9714E-02
   2.5024E+00   2.9718E-02
   2.5027E+00   2.9726E-02
   2.5034E+00   2.9739E-02
   2.5043E+00   2.9759E-02
   2.5055E+00   2.9778E-02
   2.5069E+00   2.9798E-02
   2.5083E+00   2.9817E-02
   2.5104E+00   2.9806E-02
   2.5131E+00   2.9792E-02
