# Trace from filein = ./62270n01                                                                                                                   
#   time        NE0                                                                                                                          
   2.0000E+00   3.4132E+01
   2.0000E+00   3.4182E+01
   2.0000E+00   3.4236E+01
   2.0001E+00   3.4296E+01
   2.0001E+00   3.4359E+01
   2.0001E+00   3.4425E+01
   2.0001E+00   3.4492E+01
   2.0001E+00   3.4560E+01
   2.0001E+00   3.4629E+01
   2.0001E+00   3.4697E+01
   2.0001E+00   3.4766E+01
   2.0002E+00   3.4834E+01
   2.0002E+00   3.4902E+01
   2.0002E+00   3.4970E+01
   2.0002E+00   3.5039E+01
   2.0002E+00   3.5109E+01
   2.0002E+00   3.5184E+01
   2.0003E+00   3.5264E+01
   2.0003E+00   3.5353E+01
   2.0003E+00   3.5458E+01
   2.0003E+00   3.5574E+01
   2.0004E+00   3.5739E+01
   2.0004E+00   3.5908E+01
   2.0005E+00   3.6018E+01
   2.0006E+00   3.6064E+01
   2.0006E+00   3.6079E+01
   2.0006E+00   3.6089E+01
   2.0007E+00   3.6098E+01
   2.0007E+00   3.6113E+01
   2.0008E+00   3.6133E+01
   2.0008E+00   3.6157E+01
   2.0009E+00   3.6185E+01
   2.0009E+00   3.6215E+01
   2.0010E+00   3.6248E+01
   2.0011E+00   3.6281E+01
   2.0012E+00   3.6315E+01
   2.0013E+00   3.6352E+01
   2.0014E+00   3.6391E+01
   2.0015E+00   3.6434E+01
   2.0016E+00   3.6480E+01
   2.0017E+00   3.6493E+01
   2.0019E+00   3.6510E+01
   2.0021E+00   3.6532E+01
   2.0024E+00   3.6563E+01
   2.0027E+00   3.6607E+01
   2.0032E+00   3.6660E+01
   2.0036E+00   3.6713E+01
   2.0040E+00   3.6752E+01
   2.0043E+00   3.6783E+01
   2.0045E+00   3.6802E+01
   2.0046E+00   3.6813E+01
   2.0047E+00   3.6821E+01
   2.0048E+00   3.6829E+01
   2.0049E+00   3.6840E+01
   2.0051E+00   3.6857E+01
   2.0054E+00   3.6884E+01
   2.0058E+00   3.6925E+01
   2.0063E+00   3.6980E+01
   2.0069E+00   3.7038E+01
   2.0069E+00   3.7040E+01
   2.0069E+00   3.7040E+01
   2.0070E+00   3.7040E+01
   2.0070E+00   3.7041E+01
   2.0070E+00   3.7041E+01
   2.0070E+00   3.7041E+01
   2.0070E+00   3.7041E+01
   2.0070E+00   3.7041E+01
   2.0070E+00   3.7041E+01
   2.0070E+00   3.7041E+01
   2.0070E+00   3.7041E+01
   2.0070E+00   3.7042E+01
   2.0070E+00   3.7042E+01
   2.0070E+00   3.7042E+01
   2.0070E+00   3.7042E+01
   2.0070E+00   3.7044E+01
   2.0070E+00   3.7048E+01
   2.0071E+00   3.7057E+01
   2.0071E+00   3.7073E+01
   2.0072E+00   3.7101E+01
   2.0074E+00   3.7149E+01
   2.0077E+00   3.7230E+01
   2.0082E+00   3.7362E+01
   2.0086E+00   3.7453E+01
   2.0088E+00   3.7496E+01
   2.0092E+00   3.7571E+01
   2.0098E+00   3.7698E+01
   2.0098E+00   3.7699E+01
   2.0098E+00   3.7699E+01
   2.0098E+00   3.7699E+01
   2.0098E+00   3.7699E+01
   2.0098E+00   3.7699E+01
   2.0098E+00   3.7699E+01
   2.0098E+00   3.7699E+01
   2.0098E+00   3.7699E+01
   2.0099E+00   3.7699E+01
   2.0099E+00   3.7700E+01
   2.0100E+00   3.7703E+01
   2.0102E+00   3.7708E+01
   2.0102E+00   3.4258E+01
   2.0102E+00   3.4258E+01
   2.0102E+00   3.4258E+01
   2.0102E+00   3.4258E+01
   2.0102E+00   3.4258E+01
   2.0102E+00   3.4259E+01
   2.0102E+00   3.4259E+01
   2.0102E+00   3.4259E+01
   2.0102E+00   3.4260E+01
   2.0102E+00   3.4260E+01
   2.0102E+00   3.4260E+01
   2.0102E+00   3.4261E+01
   2.0102E+00   3.4262E+01
   2.0102E+00   3.4263E+01
   2.0102E+00   3.4264E+01
   2.0102E+00   3.4264E+01
   2.0102E+00   3.4266E+01
   2.0102E+00   3.4267E+01
   2.0102E+00   3.4269E+01
   2.0102E+00   3.4270E+01
   2.0102E+00   3.4273E+01
   2.0102E+00   3.4275E+01
   2.0102E+00   3.4278E+01
   2.0102E+00   3.4282E+01
   2.0102E+00   3.4287E+01
   2.0102E+00   3.4293E+01
   2.0102E+00   3.4294E+01
   2.0102E+00   3.4294E+01
   2.0102E+00   3.4294E+01
   2.0102E+00   3.4294E+01
   2.0102E+00   3.4294E+01
   2.0102E+00   3.4294E+01
   2.0102E+00   3.4294E+01
   2.0102E+00   3.4294E+01
   2.0102E+00   3.4294E+01
   2.0102E+00   3.4294E+01
   2.0102E+00   3.4294E+01
   2.0102E+00   3.4295E+01
   2.0102E+00   3.4295E+01
   2.0102E+00   3.4296E+01
   2.0102E+00   3.4297E+01
   2.0102E+00   3.4298E+01
   2.0102E+00   3.4301E+01
   2.0103E+00   3.4305E+01
   2.0103E+00   3.4310E+01
   2.0103E+00   3.4313E+01
   2.0103E+00   3.4318E+01
   2.0103E+00   3.4321E+01
   2.0103E+00   3.4327E+01
   2.0103E+00   3.4333E+01
   2.0103E+00   3.4342E+01
   2.0103E+00   3.4352E+01
   2.0104E+00   3.4363E+01
   2.0104E+00   3.4372E+01
   2.0104E+00   3.4383E+01
   2.0105E+00   3.4396E+01
   2.0105E+00   3.4410E+01
   2.0105E+00   3.4423E+01
   2.0106E+00   3.4437E+01
   2.0106E+00   3.4453E+01
   2.0107E+00   3.4470E+01
   2.0107E+00   3.4487E+01
   2.0107E+00   3.4487E+01
   2.0107E+00   3.4487E+01
   2.0107E+00   3.4488E+01
   2.0107E+00   3.4488E+01
   2.0107E+00   3.4488E+01
   2.0107E+00   3.4489E+01
   2.0107E+00   3.4489E+01
   2.0107E+00   3.4489E+01
   2.0107E+00   3.4490E+01
   2.0107E+00   3.4491E+01
   2.0107E+00   3.4493E+01
   2.0107E+00   3.4493E+01
   2.0107E+00   3.4495E+01
   2.0108E+00   3.4498E+01
   2.0108E+00   3.4503E+01
   2.0108E+00   3.4510E+01
   2.0108E+00   3.4519E+01
   2.0108E+00   3.4528E+01
   2.0109E+00   3.4535E+01
   2.0109E+00   3.4536E+01
   2.0109E+00   3.4538E+01
   2.0109E+00   3.4538E+01
   2.0109E+00   3.4539E+01
   2.0109E+00   3.4539E+01
   2.0109E+00   3.4539E+01
   2.0109E+00   3.4540E+01
   2.0109E+00   3.4541E+01
   2.0109E+00   3.4543E+01
   2.0109E+00   3.4547E+01
   2.0109E+00   3.4554E+01
   2.0110E+00   3.4565E+01
   2.0110E+00   3.4583E+01
   2.0110E+00   3.4598E+01
   2.0111E+00   3.4612E+01
   2.0111E+00   3.4623E+01
   2.0111E+00   3.4631E+01
   2.0111E+00   3.4632E+01
   2.0111E+00   3.4633E+01
   2.0111E+00   3.4634E+01
   2.0112E+00   3.4637E+01
   2.0112E+00   3.4642E+01
   2.0112E+00   3.4650E+01
   2.0112E+00   3.4663E+01
   2.0113E+00   3.4677E+01
   2.0113E+00   3.4692E+01
   2.0114E+00   3.4704E+01
   2.0114E+00   3.4723E+01
   2.0115E+00   3.4756E+01
   2.0117E+00   3.4809E+01
   2.0121E+00   3.4886E+01
   2.0126E+00   3.5006E+01
   2.0126E+00   3.5006E+01
   2.0126E+00   3.5007E+01
   2.0126E+00   3.5007E+01
   2.0126E+00   3.5008E+01
   2.0126E+00   3.5009E+01
   2.0127E+00   3.5011E+01
   2.0127E+00   3.5014E+01
   2.0127E+00   3.5020E+01
   2.0127E+00   3.5029E+01
   2.0128E+00   3.5046E+01
   2.0129E+00   3.5074E+01
   2.0131E+00   3.5121E+01
   2.0135E+00   3.5195E+01
   2.0142E+00   3.5312E+01
   2.0142E+00   3.5313E+01
   2.0142E+00   3.5313E+01
   2.0142E+00   3.5313E+01
   2.0142E+00   3.5313E+01
   2.0142E+00   3.5314E+01
   2.0142E+00   3.5315E+01
   2.0142E+00   3.5318E+01
   2.0142E+00   3.5321E+01
   2.0142E+00   3.5328E+01
   2.0143E+00   3.5340E+01
   2.0144E+00   3.5360E+01
   2.0146E+00   3.5394E+01
   2.0148E+00   3.5449E+01
   2.0154E+00   3.5539E+01
   2.0162E+00   3.5677E+01
   2.0178E+00   3.5886E+01
   2.0204E+00   3.6194E+01
   2.0249E+00   3.6637E+01
   2.0324E+00   3.7243E+01
   2.0399E+00   3.7777E+01
   2.0474E+00   3.8234E+01
   2.0549E+00   3.8631E+01
   2.0624E+00   3.8985E+01
   2.0699E+00   3.9300E+01
   2.0774E+00   3.9585E+01
   2.0849E+00   3.9841E+01
   2.0924E+00   3.7988E+01
   2.0999E+00   3.8781E+01
   2.1074E+00   3.9488E+01
   2.1149E+00   4.0115E+01
   2.1224E+00   4.0671E+01
   2.1299E+00   4.1164E+01
   2.1374E+00   4.1602E+01
   2.1449E+00   4.1994E+01
   2.1524E+00   4.2346E+01
   2.1599E+00   4.2665E+01
   2.1674E+00   4.0044E+01
   2.1749E+00   4.0752E+01
   2.1824E+00   4.1381E+01
   2.1899E+00   4.1932E+01
   2.1974E+00   4.2412E+01
   2.2049E+00   4.2826E+01
   2.2124E+00   4.3185E+01
   2.2199E+00   4.3497E+01
   2.2274E+00   4.3771E+01
   2.2349E+00   4.3868E+01
   2.2423E+00   4.0462E+01
   2.2496E+00   4.0981E+01
   2.2571E+00   4.1436E+01
   2.2646E+00   4.1826E+01
   2.2721E+00   4.2159E+01
   2.2796E+00   4.2443E+01
   2.2871E+00   4.2684E+01
   2.2946E+00   4.2891E+01
   2.3021E+00   4.3069E+01
   2.3096E+00   4.3224E+01
   2.3171E+00   4.0384E+01
   2.3246E+00   4.0912E+01
   2.3321E+00   4.1374E+01
   2.3396E+00   4.1778E+01
   2.3471E+00   4.2130E+01
   2.3546E+00   4.2435E+01
   2.3621E+00   4.2700E+01
   2.3696E+00   4.2944E+01
   2.3738E+00   4.3080E+01
   2.3738E+00   4.3080E+01
   2.3738E+00   4.3080E+01
   2.3738E+00   4.3080E+01
   2.3738E+00   4.3080E+01
   2.3738E+00   4.3080E+01
   2.3738E+00   4.3081E+01
   2.3738E+00   4.3081E+01
   2.3738E+00   4.3082E+01
   2.3739E+00   4.3083E+01
   2.3739E+00   4.3086E+01
   2.3740E+00   4.3090E+01
   2.3742E+00   4.3096E+01
   2.3744E+00   4.3107E+01
   2.3749E+00   4.3124E+01
   2.3757E+00   4.3152E+01
   2.3770E+00   4.3196E+01
   2.3794E+00   4.3267E+01
   2.3833E+00   4.3380E+01
   2.3901E+00   4.0702E+01
   2.3956E+00   4.1161E+01
   2.3985E+00   4.1449E+01
   2.3985E+00   4.1454E+01
   2.3985E+00   4.1455E+01
   2.3985E+00   4.1455E+01
   2.3985E+00   4.1455E+01
   2.3985E+00   4.1455E+01
   2.3985E+00   4.1455E+01
   2.3985E+00   4.1455E+01
   2.3985E+00   4.1455E+01
   2.3985E+00   4.1455E+01
   2.3986E+00   4.1455E+01
   2.3986E+00   4.1455E+01
   2.3986E+00   4.1456E+01
   2.3986E+00   4.1456E+01
   2.3986E+00   4.1456E+01
   2.3986E+00   4.1457E+01
   2.3986E+00   4.1457E+01
   2.3986E+00   4.1458E+01
   2.3986E+00   4.1519E+01
   2.3986E+00   4.1584E+01
   2.3986E+00   4.1657E+01
   2.3986E+00   4.1742E+01
   2.3986E+00   4.1844E+01
   2.3986E+00   4.1966E+01
   2.3986E+00   4.2114E+01
   2.3986E+00   4.2296E+01
   2.3986E+00   4.2520E+01
   2.3986E+00   4.2746E+01
   2.3986E+00   4.2906E+01
   2.3986E+00   4.2986E+01
   2.3986E+00   4.2969E+01
   2.3987E+00   4.2967E+01
   2.3987E+00   4.2964E+01
   2.3987E+00   4.2962E+01
   2.3987E+00   4.2959E+01
   2.3987E+00   4.2958E+01
   2.3987E+00   4.2957E+01
   2.3987E+00   4.2955E+01
   2.3987E+00   4.2951E+01
   2.3987E+00   4.2947E+01
   2.3987E+00   4.2939E+01
   2.3987E+00   4.2932E+01
   2.3987E+00   4.2924E+01
   2.3988E+00   4.2917E+01
   2.3988E+00   4.2910E+01
   2.3988E+00   4.2903E+01
   2.3988E+00   4.2899E+01
   2.3988E+00   4.2897E+01
   2.3988E+00   4.2894E+01
   2.3988E+00   4.2890E+01
   2.3988E+00   4.2887E+01
   2.3989E+00   4.2882E+01
   2.3989E+00   4.2879E+01
   2.3989E+00   4.2878E+01
   2.3989E+00   4.2878E+01
   2.3989E+00   4.2877E+01
   2.3989E+00   4.2876E+01
   2.3989E+00   4.2874E+01
   2.3990E+00   4.2872E+01
   2.3990E+00   4.2870E+01
   2.3990E+00   4.2867E+01
   2.3991E+00   4.2865E+01
   2.3991E+00   4.2862E+01
   2.3991E+00   4.2862E+01
   2.3991E+00   4.2862E+01
   2.3991E+00   4.2862E+01
   2.3991E+00   4.2862E+01
   2.3991E+00   4.2862E+01
   2.3991E+00   4.2862E+01
   2.3991E+00   4.2861E+01
   2.3991E+00   4.2861E+01
   2.3991E+00   4.2861E+01
   2.3991E+00   4.2860E+01
   2.3991E+00   4.2859E+01
   2.3992E+00   4.2857E+01
   2.3992E+00   4.2856E+01
   2.3993E+00   4.2855E+01
   2.3993E+00   4.2854E+01
   2.3994E+00   4.2853E+01
   2.3994E+00   4.2852E+01
   2.3994E+00   4.2852E+01
   2.3994E+00   4.2852E+01
   2.3994E+00   4.2852E+01
   2.3994E+00   4.2852E+01
   2.3994E+00   4.2852E+01
   2.3994E+00   4.2852E+01
   2.3994E+00   4.2852E+01
   2.3994E+00   4.2852E+01
   2.3994E+00   4.2852E+01
   2.3994E+00   4.2851E+01
   2.3994E+00   4.2851E+01
   2.3994E+00   4.2851E+01
   2.3994E+00   4.2851E+01
   2.3995E+00   4.2850E+01
   2.3995E+00   4.2850E+01
   2.3995E+00   4.2849E+01
   2.3995E+00   4.2849E+01
   2.3995E+00   4.2849E+01
   2.3996E+00   4.2848E+01
   2.3996E+00   4.2848E+01
   2.3996E+00   4.2848E+01
   2.3997E+00   4.2848E+01
   2.3997E+00   4.2847E+01
   2.3997E+00   4.2847E+01
   2.3997E+00   4.2847E+01
   2.3998E+00   4.2847E+01
   2.3999E+00   4.2846E+01
   2.4000E+00   4.2846E+01
   2.4003E+00   4.2847E+01
   2.4008E+00   4.2854E+01
   2.4011E+00   4.2859E+01
   2.4016E+00   4.2871E+01
   2.4019E+00   4.2878E+01
   2.4024E+00   4.2891E+01
   2.4027E+00   4.2900E+01
   2.4032E+00   4.2917E+01
   2.4035E+00   4.2929E+01
   2.4038E+00   4.2937E+01
   2.4041E+00   4.2950E+01
   2.4044E+00   4.2958E+01
   2.4048E+00   4.2974E+01
   2.4051E+00   4.2985E+01
   2.4056E+00   4.3006E+01
   2.4059E+00   4.3020E+01
   2.4065E+00   4.3045E+01
   2.4065E+00   4.3045E+01
   2.4065E+00   4.3045E+01
   2.4065E+00   4.3045E+01
   2.4065E+00   4.3045E+01
   2.4065E+00   4.3046E+01
   2.4065E+00   4.3046E+01
   2.4065E+00   4.3046E+01
   2.4066E+00   4.3048E+01
   2.4066E+00   4.3049E+01
   2.4067E+00   4.3053E+01
   2.4069E+00   4.3059E+01
   2.4071E+00   4.3070E+01
   2.4076E+00   4.3088E+01
   2.4078E+00   4.3099E+01
   2.4083E+00   4.3119E+01
   2.4087E+00   4.3131E+01
   2.4092E+00   4.3153E+01
   2.4096E+00   4.3169E+01
   2.4099E+00   4.3177E+01
   2.4103E+00   4.3192E+01
   2.4105E+00   4.3201E+01
   2.4109E+00   4.3218E+01
   2.4112E+00   4.3228E+01
   2.4117E+00   4.3246E+01
   2.4121E+00   4.3258E+01
   2.4126E+00   4.3278E+01
   2.4130E+00   4.3290E+01
   2.4132E+00   4.3296E+01
   2.4134E+00   4.3304E+01
   2.4139E+00   4.3319E+01
   2.4141E+00   4.3326E+01
   2.4145E+00   4.3338E+01
   2.4147E+00   4.3345E+01
   2.4151E+00   4.3358E+01
   2.4156E+00   4.3375E+01
   2.4160E+00   4.3388E+01
   2.4162E+00   4.3396E+01
   2.4167E+00   4.3410E+01
   2.4169E+00   4.3418E+01
   2.4174E+00   4.3432E+01
   2.4176E+00   4.3441E+01
   2.4181E+00   4.3456E+01
   2.4184E+00   4.3465E+01
   2.4189E+00   4.3481E+01
   2.4192E+00   4.3490E+01
   2.4197E+00   4.3507E+01
   2.4198E+00   4.3511E+01
   2.4198E+00   4.3513E+01
   2.4198E+00   4.3515E+01
   2.4199E+00   4.3518E+01
   2.4199E+00   4.3520E+01
   2.4200E+00   4.3523E+01
   2.4201E+00   4.3528E+01
   2.4203E+00   4.3538E+01
   2.4206E+00   4.3555E+01
   2.4211E+00   4.3585E+01
   2.4220E+00   4.3633E+01
   2.4220E+00   4.3633E+01
   2.4220E+00   4.3633E+01
   2.4220E+00   4.3633E+01
   2.4220E+00   4.3633E+01
   2.4220E+00   4.3633E+01
   2.4220E+00   4.3633E+01
   2.4221E+00   4.3633E+01
   2.4221E+00   4.3633E+01
   2.4221E+00   4.3634E+01
   2.4221E+00   4.3634E+01
   2.4221E+00   4.3635E+01
   2.4222E+00   4.3636E+01
   2.4223E+00   4.3639E+01
   2.4226E+00   4.3645E+01
   2.4230E+00   4.3655E+01
   2.4232E+00   4.3663E+01
   2.4237E+00   4.3678E+01
   2.4241E+00   4.3689E+01
   2.4244E+00   4.3698E+01
   2.4249E+00   4.3715E+01
   2.4253E+00   4.3728E+01
   2.4256E+00   4.3738E+01
   2.4261E+00   4.3757E+01
   2.4265E+00   4.3772E+01
   2.4269E+00   4.3783E+01
   2.4274E+00   4.3804E+01
   2.4278E+00   4.3821E+01
   2.4282E+00   4.3833E+01
   2.4287E+00   4.3856E+01
   2.4292E+00   4.3878E+01
   2.4299E+00   4.3911E+01
   2.4299E+00   4.3911E+01
   2.4299E+00   4.3911E+01
   2.4299E+00   4.3911E+01
   2.4299E+00   4.3911E+01
   2.4299E+00   4.3911E+01
   2.4299E+00   4.3911E+01
   2.4299E+00   4.3911E+01
   2.4299E+00   4.3912E+01
   2.4300E+00   4.3913E+01
   2.4300E+00   4.3914E+01
   2.4301E+00   4.3917E+01
   2.4302E+00   4.3923E+01
   2.4304E+00   4.3933E+01
   2.4308E+00   4.3951E+01
   2.4315E+00   4.3980E+01
   2.4315E+00   4.3980E+01
   2.4315E+00   4.3980E+01
   2.4315E+00   4.3980E+01
   2.4315E+00   4.3980E+01
   2.4315E+00   4.3980E+01
   2.4315E+00   4.3980E+01
   2.4315E+00   4.3981E+01
   2.4315E+00   4.3981E+01
   2.4316E+00   4.3982E+01
   2.4316E+00   4.3984E+01
   2.4317E+00   4.3987E+01
   2.4318E+00   4.3993E+01
   2.4320E+00   4.4003E+01
   2.4324E+00   4.4019E+01
   2.4326E+00   4.4029E+01
   2.4330E+00   4.4047E+01
   2.4333E+00   4.4058E+01
   2.4338E+00   4.4077E+01
   2.4341E+00   4.4089E+01
   2.4346E+00   4.4108E+01
   2.4349E+00   4.4121E+01
   2.4352E+00   4.4129E+01
   2.4355E+00   4.4142E+01
   2.4358E+00   4.4150E+01
   2.4362E+00   4.4164E+01
   2.4365E+00   4.4173E+01
   2.4369E+00   4.4188E+01
   2.4377E+00   4.4270E+01
   2.4377E+00   4.4270E+01
   2.4377E+00   4.4270E+01
   2.4377E+00   4.4270E+01
   2.4377E+00   4.4270E+01
   2.4377E+00   4.4270E+01
   2.4377E+00   4.4270E+01
   2.4378E+00   4.4270E+01
   2.4378E+00   4.4270E+01
   2.4378E+00   4.4271E+01
   2.4379E+00   4.4272E+01
   2.4380E+00   4.4278E+01
   2.4381E+00   4.4292E+01
   2.4384E+00   4.4319E+01
   2.4390E+00   4.4365E+01
   2.4399E+00   4.4438E+01
   2.4410E+00   4.4521E+01
   2.4429E+00   4.4649E+01
   2.4462E+00   4.4842E+01
   2.4510E+00   4.5089E+01
   2.4585E+00   4.5126E+01
   2.4660E+00   4.0618E+01
   2.4701E+00   4.1043E+01
   2.4701E+00   4.1048E+01
   2.4701E+00   4.1048E+01
   2.4701E+00   4.1048E+01
   2.4701E+00   4.1048E+01
   2.4701E+00   4.1048E+01
   2.4701E+00   4.1049E+01
   2.4701E+00   4.1049E+01
   2.4701E+00   4.1049E+01
   2.4701E+00   4.1049E+01
   2.4701E+00   4.1050E+01
   2.4701E+00   4.1050E+01
   2.4701E+00   4.1051E+01
   2.4701E+00   4.1051E+01
   2.4701E+00   4.1052E+01
   2.4701E+00   4.1052E+01
   2.4701E+00   4.1053E+01
   2.4701E+00   4.1053E+01
   2.4701E+00   4.1054E+01
   2.4701E+00   4.1056E+01
   2.4701E+00   4.1056E+01
   2.4701E+00   4.1057E+01
   2.4701E+00   4.1057E+01
   2.4701E+00   4.1057E+01
   2.4701E+00   4.1057E+01
   2.4701E+00   4.1057E+01
   2.4701E+00   4.1057E+01
   2.4701E+00   4.1057E+01
   2.4701E+00   4.1057E+01
   2.4701E+00   4.1058E+01
   2.4701E+00   4.1058E+01
   2.4701E+00   4.1058E+01
   2.4701E+00   4.1058E+01
   2.4701E+00   4.1059E+01
   2.4701E+00   4.1060E+01
   2.4701E+00   4.1063E+01
   2.4701E+00   4.1065E+01
   2.4701E+00   4.1069E+01
   2.4702E+00   4.1074E+01
   2.4702E+00   4.1080E+01
   2.4702E+00   4.1089E+01
   2.4703E+00   4.1096E+01
   2.4703E+00   4.1101E+01
   2.4703E+00   4.1105E+01
   2.4703E+00   4.1109E+01
   2.4704E+00   4.1114E+01
   2.4704E+00   4.1119E+01
   2.4704E+00   4.1124E+01
   2.4704E+00   4.1128E+01
   2.4704E+00   4.1131E+01
   2.4705E+00   4.1135E+01
   2.4705E+00   4.1137E+01
   2.4705E+00   4.1137E+01
   2.4705E+00   4.1138E+01
   2.4705E+00   4.1139E+01
   2.4705E+00   4.1140E+01
   2.4705E+00   4.1140E+01
   2.4705E+00   4.1141E+01
   2.4705E+00   4.1142E+01
   2.4705E+00   4.1144E+01
   2.4705E+00   4.1146E+01
   2.4706E+00   4.1150E+01
   2.4706E+00   4.1154E+01
   2.4706E+00   4.1160E+01
   2.4706E+00   4.1165E+01
   2.4707E+00   4.1172E+01
   2.4707E+00   4.1179E+01
   2.4708E+00   4.1184E+01
   2.4708E+00   4.1189E+01
   2.4708E+00   4.1194E+01
   2.4708E+00   4.1199E+01
   2.4709E+00   4.1205E+01
   2.4709E+00   4.1210E+01
   2.4709E+00   4.1211E+01
   2.4709E+00   4.1212E+01
   2.4709E+00   4.1213E+01
   2.4709E+00   4.1213E+01
   2.4709E+00   4.1213E+01
   2.4709E+00   4.1213E+01
   2.4709E+00   4.1213E+01
   2.4709E+00   4.1214E+01
   2.4709E+00   4.1215E+01
   2.4709E+00   4.1216E+01
   2.4710E+00   4.1218E+01
   2.4710E+00   4.1221E+01
   2.4710E+00   4.1227E+01
   2.4711E+00   4.1233E+01
   2.4711E+00   4.1243E+01
   2.4712E+00   4.1254E+01
   2.4713E+00   4.1263E+01
   2.4713E+00   4.1270E+01
   2.4713E+00   4.1277E+01
   2.4714E+00   4.1283E+01
