# Trace from filein = ./62270n01                                                                                                                   
#   time        NEVAVO                                                                                                                       
   2.0000E+00   2.0960E+01
   2.0000E+00   2.1037E+01
   2.0000E+00   2.1121E+01
   2.0001E+00   2.1215E+01
   2.0001E+00   2.1315E+01
   2.0001E+00   2.1420E+01
   2.0001E+00   2.1529E+01
   2.0001E+00   2.1640E+01
   2.0001E+00   2.1753E+01
   2.0001E+00   2.1867E+01
   2.0001E+00   2.1982E+01
   2.0002E+00   2.2097E+01
   2.0002E+00   2.2212E+01
   2.0002E+00   2.2329E+01
   2.0002E+00   2.2448E+01
   2.0002E+00   2.2571E+01
   2.0002E+00   2.2703E+01
   2.0003E+00   2.2847E+01
   2.0003E+00   2.3009E+01
   2.0003E+00   2.3203E+01
   2.0003E+00   2.3439E+01
   2.0004E+00   2.3777E+01
   2.0004E+00   2.4107E+01
   2.0005E+00   2.4291E+01
   2.0006E+00   2.4331E+01
   2.0006E+00   2.4312E+01
   2.0006E+00   2.4280E+01
   2.0007E+00   2.4251E+01
   2.0007E+00   2.4229E+01
   2.0008E+00   2.4212E+01
   2.0008E+00   2.4200E+01
   2.0009E+00   2.4189E+01
   2.0009E+00   2.4178E+01
   2.0010E+00   2.4166E+01
   2.0011E+00   2.4152E+01
   2.0012E+00   2.4138E+01
   2.0013E+00   2.4122E+01
   2.0014E+00   2.4105E+01
   2.0015E+00   2.4087E+01
   2.0016E+00   2.4067E+01
   2.0017E+00   2.4043E+01
   2.0019E+00   2.4022E+01
   2.0021E+00   2.4003E+01
   2.0024E+00   2.3985E+01
   2.0027E+00   2.3965E+01
   2.0032E+00   2.3941E+01
   2.0036E+00   2.3910E+01
   2.0040E+00   2.3874E+01
   2.0043E+00   2.3840E+01
   2.0045E+00   2.3812E+01
   2.0046E+00   2.3792E+01
   2.0047E+00   2.3778E+01
   2.0048E+00   2.3765E+01
   2.0049E+00   2.3750E+01
   2.0051E+00   2.3735E+01
   2.0054E+00   2.3717E+01
   2.0058E+00   2.3696E+01
   2.0063E+00   2.3672E+01
   2.0069E+00   2.3644E+01
   2.0069E+00   2.3642E+01
   2.0069E+00   2.3641E+01
   2.0070E+00   2.3639E+01
   2.0070E+00   2.3637E+01
   2.0070E+00   2.3637E+01
   2.0070E+00   2.3636E+01
   2.0070E+00   2.3636E+01
   2.0070E+00   2.3636E+01
   2.0070E+00   2.3635E+01
   2.0070E+00   2.3633E+01
   2.0070E+00   2.3630E+01
   2.0070E+00   2.3626E+01
   2.0070E+00   2.3622E+01
   2.0070E+00   2.3618E+01
   2.0070E+00   2.3614E+01
   2.0070E+00   2.3610E+01
   2.0070E+00   2.3605E+01
   2.0071E+00   2.3600E+01
   2.0071E+00   2.3595E+01
   2.0072E+00   2.3587E+01
   2.0074E+00   2.3576E+01
   2.0077E+00   2.3558E+01
   2.0082E+00   2.3533E+01
   2.0086E+00   2.3503E+01
   2.0088E+00   2.3483E+01
   2.0092E+00   2.3452E+01
   2.0098E+00   2.3418E+01
   2.0098E+00   2.3417E+01
   2.0098E+00   2.3417E+01
   2.0098E+00   2.3416E+01
   2.0098E+00   2.3415E+01
   2.0098E+00   2.3413E+01
   2.0098E+00   2.3410E+01
   2.0098E+00   2.3405E+01
   2.0098E+00   2.3397E+01
   2.0099E+00   2.3386E+01
   2.0099E+00   2.3378E+01
   2.0100E+00   2.3369E+01
   2.0102E+00   2.3361E+01
   2.0102E+00   2.3363E+01
   2.0102E+00   2.3366E+01
   2.0102E+00   2.3368E+01
   2.0102E+00   2.3369E+01
   2.0102E+00   2.3372E+01
   2.0102E+00   2.3374E+01
   2.0102E+00   2.3376E+01
   2.0102E+00   2.3379E+01
   2.0102E+00   2.3383E+01
   2.0102E+00   2.3387E+01
   2.0102E+00   2.3392E+01
   2.0102E+00   2.3398E+01
   2.0102E+00   2.3405E+01
   2.0102E+00   2.3413E+01
   2.0102E+00   2.3422E+01
   2.0102E+00   2.3435E+01
   2.0102E+00   2.3451E+01
   2.0102E+00   2.3469E+01
   2.0102E+00   2.3491E+01
   2.0102E+00   2.3518E+01
   2.0102E+00   2.3550E+01
   2.0102E+00   2.3588E+01
   2.0102E+00   2.3636E+01
   2.0102E+00   2.3690E+01
   2.0102E+00   2.3731E+01
   2.0102E+00   2.3759E+01
   2.0102E+00   2.3760E+01
   2.0102E+00   2.3759E+01
   2.0102E+00   2.3759E+01
   2.0102E+00   2.3759E+01
   2.0102E+00   2.3759E+01
   2.0102E+00   2.3759E+01
   2.0102E+00   2.3759E+01
   2.0102E+00   2.3759E+01
   2.0102E+00   2.3759E+01
   2.0102E+00   2.3759E+01
   2.0102E+00   2.3759E+01
   2.0102E+00   2.3758E+01
   2.0102E+00   2.3758E+01
   2.0102E+00   2.3757E+01
   2.0102E+00   2.3756E+01
   2.0102E+00   2.3754E+01
   2.0102E+00   2.3751E+01
   2.0103E+00   2.3749E+01
   2.0103E+00   2.3746E+01
   2.0103E+00   2.3747E+01
   2.0103E+00   2.3749E+01
   2.0103E+00   2.3746E+01
   2.0103E+00   2.3743E+01
   2.0103E+00   2.3743E+01
   2.0103E+00   2.3744E+01
   2.0103E+00   2.3745E+01
   2.0104E+00   2.3746E+01
   2.0104E+00   2.3745E+01
   2.0104E+00   2.3744E+01
   2.0105E+00   2.3743E+01
   2.0105E+00   2.3740E+01
   2.0105E+00   2.3738E+01
   2.0106E+00   2.3734E+01
   2.0106E+00   2.3730E+01
   2.0107E+00   2.3726E+01
   2.0107E+00   2.3722E+01
   2.0107E+00   2.3722E+01
   2.0107E+00   2.3721E+01
   2.0107E+00   2.3721E+01
   2.0107E+00   2.3721E+01
   2.0107E+00   2.3720E+01
   2.0107E+00   2.3720E+01
   2.0107E+00   2.3719E+01
   2.0107E+00   2.3719E+01
