# Trace from filein = ./62270n01                                                                                                                   
#   time        NI0                                                                                                                          
   2.0000E+00   2.7882E+01
   2.0000E+00   2.7931E+01
   2.0000E+00   2.7985E+01
   2.0001E+00   2.8044E+01
   2.0001E+00   2.8106E+01
   2.0001E+00   2.8171E+01
   2.0001E+00   2.8237E+01
   2.0001E+00   2.8304E+01
   2.0001E+00   2.8371E+01
   2.0001E+00   2.8439E+01
   2.0001E+00   2.8506E+01
   2.0002E+00   2.8573E+01
   2.0002E+00   2.8640E+01
   2.0002E+00   2.8707E+01
   2.0002E+00   2.8774E+01
   2.0002E+00   2.8843E+01
   2.0002E+00   2.8916E+01
   2.0003E+00   2.8994E+01
   2.0003E+00   2.9081E+01
   2.0003E+00   2.9183E+01
   2.0003E+00   2.9297E+01
   2.0004E+00   2.9460E+01
   2.0004E+00   2.9624E+01
   2.0005E+00   2.9730E+01
   2.0006E+00   2.9771E+01
   2.0006E+00   2.9783E+01
   2.0006E+00   2.9789E+01
   2.0007E+00   2.9795E+01
   2.0007E+00   2.9807E+01
   2.0008E+00   2.9822E+01
   2.0008E+00   2.9842E+01
   2.0009E+00   2.9865E+01
   2.0009E+00   2.9891E+01
   2.0010E+00   2.9917E+01
   2.0011E+00   2.9944E+01
   2.0012E+00   2.9973E+01
   2.0013E+00   3.0003E+01
   2.0014E+00   3.0035E+01
   2.0015E+00   3.0070E+01
   2.0016E+00   3.0108E+01
   2.0017E+00   3.0112E+01
   2.0019E+00   3.0119E+01
   2.0021E+00   3.0129E+01
   2.0024E+00   3.0145E+01
   2.0027E+00   3.0170E+01
   2.0032E+00   3.0203E+01
   2.0036E+00   3.0238E+01
   2.0040E+00   3.0263E+01
   2.0043E+00   3.0282E+01
   2.0045E+00   3.0293E+01
   2.0046E+00   3.0300E+01
   2.0047E+00   3.0304E+01
   2.0048E+00   3.0308E+01
   2.0049E+00   3.0315E+01
   2.0051E+00   3.0326E+01
   2.0054E+00   3.0345E+01
   2.0058E+00   3.0375E+01
   2.0063E+00   3.0416E+01
   2.0069E+00   3.0462E+01
   2.0069E+00   3.0463E+01
   2.0069E+00   3.0463E+01
   2.0070E+00   3.0463E+01
   2.0070E+00   3.0463E+01
   2.0070E+00   3.0463E+01
   2.0070E+00   3.0463E+01
   2.0070E+00   3.0463E+01
   2.0070E+00   3.0463E+01
   2.0070E+00   3.0463E+01
   2.0070E+00   3.0463E+01
   2.0070E+00   3.0463E+01
   2.0070E+00   3.0463E+01
   2.0070E+00   3.0464E+01
   2.0070E+00   3.0464E+01
   2.0070E+00   3.0464E+01
   2.0070E+00   3.0465E+01
   2.0070E+00   3.0469E+01
   2.0071E+00   3.0476E+01
   2.0071E+00   3.0491E+01
   2.0072E+00   3.0517E+01
   2.0074E+00   3.0561E+01
   2.0077E+00   3.0635E+01
   2.0082E+00   3.0757E+01
   2.0086E+00   3.0840E+01
   2.0088E+00   3.0880E+01
   2.0092E+00   3.0948E+01
   2.0098E+00   3.1065E+01
   2.0098E+00   3.1066E+01
   2.0098E+00   3.1065E+01
   2.0098E+00   3.1065E+01
   2.0098E+00   3.1065E+01
   2.0098E+00   3.1065E+01
   2.0098E+00   3.1065E+01
   2.0098E+00   3.1065E+01
   2.0098E+00   3.1065E+01
   2.0099E+00   3.1064E+01
   2.0099E+00   3.1064E+01
   2.0100E+00   3.1065E+01
   2.0102E+00   3.1067E+01
   2.0102E+00   2.8239E+01
   2.0102E+00   2.8239E+01
   2.0102E+00   2.8239E+01
   2.0102E+00   2.8239E+01
   2.0102E+00   2.8240E+01
   2.0102E+00   2.8240E+01
   2.0102E+00   2.8240E+01
   2.0102E+00   2.8240E+01
   2.0102E+00   2.8241E+01
   2.0102E+00   2.8241E+01
   2.0102E+00   2.8241E+01
   2.0102E+00   2.8242E+01
   2.0102E+00   2.8243E+01
   2.0102E+00   2.8243E+01
   2.0102E+00   2.8244E+01
   2.0102E+00   2.8245E+01
   2.0102E+00   2.8246E+01
   2.0102E+00   2.8248E+01
   2.0102E+00   2.8249E+01
   2.0102E+00   2.8251E+01
   2.0102E+00   2.8253E+01
   2.0102E+00   2.8255E+01
   2.0102E+00   2.8258E+01
   2.0102E+00   2.8262E+01
   2.0102E+00   2.8266E+01
   2.0102E+00   2.8272E+01
   2.0102E+00   2.8272E+01
   2.0102E+00   2.8272E+01
   2.0102E+00   2.8273E+01
   2.0102E+00   2.8273E+01
   2.0102E+00   2.8273E+01
   2.0102E+00   2.8273E+01
   2.0102E+00   2.8273E+01
   2.0102E+00   2.8273E+01
   2.0102E+00   2.8273E+01
   2.0102E+00   2.8273E+01
   2.0102E+00   2.8273E+01
   2.0102E+00   2.8273E+01
   2.0102E+00   2.8273E+01
   2.0102E+00   2.8274E+01
   2.0102E+00   2.8275E+01
   2.0102E+00   2.8276E+01
   2.0102E+00   2.8279E+01
   2.0103E+00   2.8282E+01
   2.0103E+00   2.8287E+01
   2.0103E+00   2.8290E+01
   2.0103E+00   2.8294E+01
   2.0103E+00   2.8297E+01
   2.0103E+00   2.8302E+01
   2.0103E+00   2.8308E+01
   2.0103E+00   2.8316E+01
   2.0103E+00   2.8324E+01
   2.0104E+00   2.8334E+01
   2.0104E+00   2.8342E+01
   2.0104E+00   2.8353E+01
   2.0105E+00   2.8363E+01
   2.0105E+00   2.8375E+01
   2.0105E+00   2.8387E+01
   2.0106E+00   2.8400E+01
   2.0106E+00   2.8414E+01
   2.0107E+00   2.8428E+01
   2.0107E+00   2.8443E+01
   2.0107E+00   2.8443E+01
   2.0107E+00   2.8444E+01
   2.0107E+00   2.8444E+01
   2.0107E+00   2.8444E+01
   2.0107E+00   2.8444E+01
   2.0107E+00   2.8445E+01
   2.0107E+00   2.8445E+01
   2.0107E+00   2.8445E+01
   2.0107E+00   2.8446E+01
   2.0107E+00   2.8447E+01
   2.0107E+00   2.8448E+01
   2.0107E+00   2.8449E+01
   2.0107E+00   2.8450E+01
   2.0108E+00   2.8453E+01
   2.0108E+00   2.8457E+01
   2.0108E+00   2.8463E+01
   2.0108E+00   2.8471E+01
   2.0108E+00   2.8479E+01
   2.0109E+00   2.8485E+01
   2.0109E+00   2.8486E+01
   2.0109E+00   2.8487E+01
   2.0109E+00   2.8488E+01
   2.0109E+00   2.8488E+01
   2.0109E+00   2.8488E+01
   2.0109E+00   2.8488E+01
   2.0109E+00   2.8489E+01
   2.0109E+00   2.8490E+01
   2.0109E+00   2.8492E+01
   2.0109E+00   2.8495E+01
   2.0109E+00   2.8501E+01
   2.0110E+00   2.8511E+01
   2.0110E+00   2.8526E+01
   2.0110E+00   2.8540E+01
   2.0111E+00   2.8552E+01
   2.0111E+00   2.8562E+01
   2.0111E+00   2.8569E+01
   2.0111E+00   2.8569E+01
   2.0111E+00   2.8570E+01
   2.0111E+00   2.8571E+01
   2.0112E+00   2.8574E+01
   2.0112E+00   2.8578E+01
   2.0112E+00   2.8585E+01
   2.0112E+00   2.8597E+01
   2.0113E+00   2.8608E+01
   2.0113E+00   2.8621E+01
   2.0114E+00   2.8631E+01
   2.0114E+00   2.8648E+01
   2.0115E+00   2.8677E+01
   2.0117E+00   2.8722E+01
   2.0121E+00   2.8787E+01
   2.0126E+00   2.8887E+01
   2.0126E+00   2.8888E+01
   2.0126E+00   2.8888E+01
   2.0126E+00   2.8888E+01
   2.0126E+00   2.8889E+01
   2.0126E+00   2.8890E+01
   2.0127E+00   2.8891E+01
   2.0127E+00   2.8894E+01
   2.0127E+00   2.8899E+01
   2.0127E+00   2.8907E+01
   2.0128E+00   2.8921E+01
   2.0129E+00   2.8944E+01
   2.0131E+00   2.8982E+01
   2.0135E+00   2.9044E+01
   2.0142E+00   2.9141E+01
   2.0142E+00   2.9141E+01
   2.0142E+00   2.9141E+01
   2.0142E+00   2.9141E+01
   2.0142E+00   2.9142E+01
   2.0142E+00   2.9142E+01
   2.0142E+00   2.9143E+01
   2.0142E+00   2.9145E+01
   2.0142E+00   2.9148E+01
   2.0142E+00   2.9153E+01
   2.0143E+00   2.9163E+01
   2.0144E+00   2.9180E+01
   2.0146E+00   2.9208E+01
   2.0148E+00   2.9254E+01
   2.0154E+00   2.9328E+01
   2.0162E+00   2.9445E+01
   2.0178E+00   2.9625E+01
   2.0204E+00   2.9896E+01
   2.0249E+00   3.0302E+01
