# Trace from filein = ./62270n01                                                                                                                   
#   time        POHT                                                                                                                         
   2.0000E+00   4.6264E-01
   2.0000E+00   4.6700E-01
   2.0000E+00   4.7011E-01
   2.0001E+00   4.7272E-01
   2.0001E+00   4.7500E-01
   2.0001E+00   4.7703E-01
   2.0001E+00   4.7888E-01
   2.0001E+00   4.8059E-01
   2.0001E+00   4.8217E-01
   2.0001E+00   4.8363E-01
   2.0001E+00   4.8508E-01
   2.0002E+00   4.8651E-01
   2.0002E+00   4.8790E-01
   2.0002E+00   4.8927E-01
   2.0002E+00   4.9062E-01
   2.0002E+00   4.9196E-01
   2.0002E+00   4.9332E-01
   2.0003E+00   4.9470E-01
   2.0003E+00   4.9616E-01
   2.0003E+00   4.9773E-01
   2.0003E+00   4.9944E-01
   2.0004E+00   5.0116E-01
   2.0004E+00   5.0336E-01
   2.0005E+00   5.0523E-01
   2.0006E+00   5.0600E-01
   2.0006E+00   5.0583E-01
   2.0006E+00   5.0513E-01
   2.0007E+00   5.0428E-01
   2.0007E+00   5.0332E-01
   2.0008E+00   5.0229E-01
   2.0008E+00   5.0118E-01
   2.0009E+00   4.9997E-01
   2.0009E+00   4.9863E-01
   2.0010E+00   4.9718E-01
   2.0011E+00   4.9563E-01
   2.0012E+00   4.9398E-01
   2.0013E+00   4.9220E-01
   2.0014E+00   4.9031E-01
   2.0015E+00   4.8823E-01
   2.0016E+00   4.8597E-01
   2.0017E+00   4.8351E-01
   2.0019E+00   4.8073E-01
   2.0021E+00   4.7757E-01
   2.0024E+00   4.7373E-01
   2.0027E+00   4.6892E-01
   2.0032E+00   4.6302E-01
   2.0036E+00   4.5646E-01
   2.0040E+00   4.5033E-01
   2.0043E+00   4.4557E-01
   2.0045E+00   4.4187E-01
   2.0046E+00   4.3945E-01
   2.0047E+00   4.3795E-01
   2.0048E+00   4.3682E-01
   2.0049E+00   4.3557E-01
   2.0051E+00   4.3391E-01
   2.0054E+00   4.3160E-01
   2.0058E+00   4.2834E-01
   2.0063E+00   4.2390E-01
   2.0069E+00   4.1855E-01
   2.0069E+00   4.1380E-01
   2.0069E+00   4.1362E-01
   2.0070E+00   4.1361E-01
   2.0070E+00   4.1359E-01
   2.0070E+00   4.1356E-01
   2.0070E+00   4.1357E-01
   2.0070E+00   4.1359E-01
   2.0070E+00   4.1360E-01
   2.0070E+00   4.1359E-01
   2.0070E+00   4.1357E-01
   2.0070E+00   4.1353E-01
   2.0070E+00   4.1346E-01
   2.0070E+00   4.1337E-01
   2.0070E+00   4.1327E-01
   2.0070E+00   4.1319E-01
   2.0070E+00   4.1310E-01
   2.0070E+00   4.1296E-01
   2.0071E+00   4.1274E-01
   2.0071E+00   4.1238E-01
   2.0072E+00   4.1179E-01
   2.0074E+00   4.1075E-01
   2.0077E+00   4.0902E-01
   2.0082E+00   4.0612E-01
   2.0086E+00   4.0190E-01
   2.0088E+00   3.9896E-01
   2.0092E+00   3.9721E-01
   2.0098E+00   3.9432E-01
   2.0098E+00   3.9053E-01
   2.0098E+00   3.9053E-01
   2.0098E+00   3.9051E-01
   2.0098E+00   3.9051E-01
   2.0098E+00   3.9050E-01
   2.0098E+00   3.9046E-01
   2.0098E+00   3.9039E-01
   2.0098E+00   3.9027E-01
   2.0099E+00   3.9007E-01
   2.0099E+00   3.8975E-01
   2.0100E+00   3.8928E-01
   2.0102E+00   3.8853E-01
   2.0102E+00   3.8813E-01
   2.0102E+00   3.8813E-01
   2.0102E+00   3.8816E-01
   2.0102E+00   3.8819E-01
   2.0102E+00   3.8822E-01
   2.0102E+00   3.8824E-01
   2.0102E+00   3.8827E-01
   2.0102E+00   3.8830E-01
   2.0102E+00   3.8833E-01
   2.0102E+00   3.8836E-01
   2.0102E+00   3.8840E-01
   2.0102E+00   3.8845E-01
   2.0102E+00   3.8848E-01
   2.0102E+00   3.8854E-01
   2.0102E+00   3.8861E-01
   2.0102E+00   3.8869E-01
   2.0102E+00   3.8878E-01
   2.0102E+00   3.8890E-01
   2.0102E+00   3.8904E-01
   2.0102E+00   3.8921E-01
   2.0102E+00   3.8942E-01
   2.0102E+00   3.8967E-01
   2.0102E+00   3.8996E-01
   2.0102E+00   3.9032E-01
   2.0102E+00   3.9073E-01
   2.0102E+00   3.9099E-01
   2.0102E+00   3.9114E-01
   2.0102E+00   3.9114E-01
   2.0102E+00   3.9115E-01
   2.0102E+00   3.9115E-01
   2.0102E+00   3.9115E-01
   2.0102E+00   3.9115E-01
   2.0102E+00   3.9115E-01
   2.0102E+00   3.9114E-01
   2.0102E+00   3.9114E-01
   2.0102E+00   3.9114E-01
   2.0102E+00   3.9114E-01
   2.0102E+00   3.9101E-01
   2.0102E+00   3.9102E-01
   2.0102E+00   3.9097E-01
   2.0102E+00   3.9097E-01
   2.0102E+00   3.9082E-01
   2.0102E+00   3.9081E-01
   2.0103E+00   3.9071E-01
   2.0103E+00   3.9064E-01
   2.0103E+00   3.9038E-01
   2.0103E+00   3.9037E-01
   2.0103E+00   3.9034E-01
   2.0103E+00   3.9027E-01
   2.0103E+00   3.9016E-01
   2.0103E+00   3.9003E-01
   2.0103E+00   3.8987E-01
   2.0104E+00   3.8970E-01
   2.0104E+00   3.8949E-01
   2.0104E+00   3.8930E-01
   2.0105E+00   3.8904E-01
   2.0105E+00   3.8877E-01
   2.0105E+00   3.8846E-01
   2.0106E+00   3.8816E-01
   2.0106E+00   3.8781E-01
   2.0107E+00   3.8744E-01
   2.0107E+00   3.8705E-01
   2.0107E+00   3.8670E-01
   2.0107E+00   3.8670E-01
   2.0107E+00   3.8669E-01
   2.0107E+00   3.8669E-01
   2.0107E+00   3.8668E-01
   2.0107E+00   3.8668E-01
   2.0107E+00   3.8667E-01
   2.0107E+00   3.8667E-01
   2.0107E+00   3.8666E-01
   2.0107E+00   3.8663E-01
   2.0107E+00   3.8659E-01
   2.0107E+00   3.8655E-01
   2.0107E+00   3.8651E-01
   2.0108E+00   3.8645E-01
   2.0108E+00   3.8637E-01
   2.0108E+00   3.8624E-01
   2.0108E+00   3.8607E-01
   2.0108E+00   3.8585E-01
   2.0109E+00   3.8564E-01
   2.0109E+00   3.8551E-01
   2.0109E+00   3.8548E-01
   2.0109E+00   3.8545E-01
   2.0109E+00   3.8545E-01
   2.0109E+00   3.8544E-01
   2.0109E+00   3.8544E-01
   2.0109E+00   3.8543E-01
   2.0109E+00   3.8542E-01
   2.0109E+00   3.8538E-01
   2.0109E+00   3.8533E-01
   2.0109E+00   3.8524E-01
   2.0110E+00   3.8509E-01
   2.0110E+00   3.8484E-01
   2.0110E+00   3.8447E-01
   2.0111E+00   3.8414E-01
   2.0111E+00   3.8386E-01
   2.0111E+00   3.8361E-01
   2.0111E+00   3.8344E-01
   2.0111E+00   3.8344E-01
   2.0111E+00   3.8342E-01
   2.0112E+00   3.8337E-01
   2.0112E+00   3.8331E-01
   2.0112E+00   3.8319E-01
   2.0112E+00   3.8300E-01
   2.0113E+00   3.8270E-01
   2.0113E+00   3.8242E-01
   2.0114E+00   3.8208E-01
   2.0114E+00   3.8181E-01
   2.0115E+00   3.8132E-01
   2.0117E+00   3.8051E-01
   2.0121E+00   3.7912E-01
   2.0126E+00   3.7687E-01
   2.0126E+00   3.7375E-01
   2.0126E+00   3.7374E-01
   2.0126E+00   3.7372E-01
   2.0126E+00   3.7371E-01
   2.0126E+00   3.7369E-01
   2.0127E+00   3.7364E-01
   2.0127E+00   3.7356E-01
   2.0127E+00   3.7344E-01
   2.0127E+00   3.7325E-01
   2.0128E+00   3.7296E-01
   2.0129E+00   3.7248E-01
   2.0131E+00   3.7170E-01
   2.0135E+00   3.7035E-01
   2.0142E+00   3.6813E-01
   2.0142E+00   3.6500E-01
   2.0142E+00   3.6499E-01
   2.0142E+00   3.6498E-01
   2.0142E+00   3.6497E-01
   2.0142E+00   3.6495E-01
   2.0142E+00   3.6492E-01
   2.0142E+00   3.6487E-01
   2.0142E+00   3.6477E-01
   2.0142E+00   3.6460E-01
   2.0143E+00   3.6436E-01
   2.0144E+00   3.6400E-01
   2.0146E+00   3.6343E-01
   2.0148E+00   3.6247E-01
   2.0154E+00   3.6085E-01
   2.0162E+00   3.5813E-01
   2.0178E+00   3.5372E-01
   2.0204E+00   3.4677E-01
   2.0249E+00   3.3651E-01
   2.0324E+00   3.2230E-01
   2.0399E+00   3.0523E-01
   2.0474E+00   2.9153E-01
   2.0549E+00   2.8021E-01
   2.0624E+00   2.7062E-01
   2.0699E+00   2.6256E-01
   2.0774E+00   2.5565E-01
   2.0849E+00   2.4991E-01
   2.0924E+00   2.4533E-01
   2.0999E+00   2.4189E-01
   2.1074E+00   2.3900E-01
   2.1149E+00   2.3641E-01
   2.1224E+00   2.3385E-01
   2.1299E+00   2.3135E-01
   2.1374E+00   2.2886E-01
   2.1449E+00   2.2653E-01
   2.1524E+00   2.2434E-01
   2.1599E+00   2.2241E-01
   2.1674E+00   2.2094E-01
   2.1749E+00   2.1999E-01
   2.1824E+00   2.1941E-01
   2.1899E+00   2.1890E-01
   2.1974E+00   2.1819E-01
   2.2049E+00   2.1728E-01
   2.2124E+00   2.1613E-01
   2.2199E+00   2.1492E-01
   2.2274E+00   2.1367E-01
   2.2349E+00   2.1253E-01
   2.2423E+00   2.1096E-01
   2.2496E+00   2.0998E-01
   2.2571E+00   2.0926E-01
   2.2646E+00   2.0846E-01
   2.2721E+00   2.0740E-01
   2.2796E+00   2.0610E-01
   2.2871E+00   2.0462E-01
   2.2946E+00   2.0312E-01
   2.3021E+00   2.0167E-01
   2.3096E+00   2.0040E-01
   2.3171E+00   1.9951E-01
   2.3246E+00   1.9916E-01
   2.3321E+00   1.9916E-01
   2.3396E+00   1.9912E-01
   2.3471E+00   1.9883E-01
   2.3546E+00   1.9825E-01
   2.3621E+00   1.9743E-01
   2.3696E+00   1.9651E-01
   2.3738E+00   1.9664E-01
   2.3738E+00   1.9659E-01
   2.3738E+00   1.9659E-01
   2.3738E+00   1.9659E-01
   2.3738E+00   1.9658E-01
   2.3738E+00   1.9658E-01
   2.3738E+00   1.9658E-01
   2.3738E+00   1.9657E-01
   2.3738E+00   1.9655E-01
   2.3739E+00   1.9652E-01
   2.3739E+00   1.9646E-01
   2.3740E+00   1.9636E-01
   2.3742E+00   1.9620E-01
   2.3744E+00   1.9593E-01
   2.3749E+00   1.9566E-01
   2.3757E+00   1.9548E-01
   2.3770E+00   1.9541E-01
   2.3794E+00   1.9548E-01
   2.3833E+00   1.9564E-01
   2.3901E+00   1.9608E-01
   2.3956E+00   1.9463E-01
   2.3985E+00   1.9464E-01
   2.3985E+00   1.9549E-01
   2.3985E+00   1.9552E-01
   2.3985E+00   1.9554E-01
   2.3985E+00   1.9556E-01
   2.3985E+00   1.9557E-01
   2.3985E+00   1.9559E-01
   2.3985E+00   1.9560E-01
   2.3985E+00   1.9560E-01
   2.3985E+00   1.9561E-01
   2.3986E+00   1.9562E-01
   2.3986E+00   1.9565E-01
   2.3986E+00   1.9566E-01
   2.3986E+00   1.9569E-01
   2.3986E+00   1.9573E-01
   2.3986E+00   1.9577E-01
   2.3986E+00   1.9582E-01
   2.3986E+00   1.9588E-01
   2.3986E+00   1.9595E-01
   2.3986E+00   1.9605E-01
   2.3986E+00   1.9616E-01
