# Trace from filein = ./62270n01                                                                                                                   
#   time        PRAD                                                                                                                         
   2.0000E+00  -2.6513E-01
   2.0000E+00  -2.6609E-01
   2.0000E+00  -2.6672E-01
   2.0001E+00  -2.6726E-01
   2.0001E+00  -2.6777E-01
   2.0001E+00  -2.6826E-01
   2.0001E+00  -2.6877E-01
   2.0001E+00  -2.6930E-01
   2.0001E+00  -2.6985E-01
   2.0001E+00  -2.7038E-01
   2.0001E+00  -2.7092E-01
   2.0002E+00  -2.7147E-01
   2.0002E+00  -2.7201E-01
   2.0002E+00  -2.7256E-01
   2.0002E+00  -2.7311E-01
   2.0002E+00  -2.7367E-01
   2.0002E+00  -2.7424E-01
   2.0003E+00  -2.7484E-01
   2.0003E+00  -2.7549E-01
   2.0003E+00  -2.7623E-01
   2.0003E+00  -2.7038E-01
   2.0004E+00  -2.7153E-01
   2.0004E+00  -2.4281E-01
   2.0005E+00  -2.0774E-01
   2.0006E+00  -1.8152E-01
   2.0006E+00  -1.6580E-01
   2.0006E+00  -1.6090E-01
   2.0007E+00  -1.6115E-01
   2.0007E+00  -1.6340E-01
   2.0008E+00  -1.6514E-01
   2.0008E+00  -1.6596E-01
   2.0009E+00  -1.6597E-01
   2.0009E+00  -1.6550E-01
   2.0010E+00  -1.6483E-01
   2.0011E+00  -1.6413E-01
   2.0012E+00  -1.6347E-01
   2.0013E+00  -1.6288E-01
   2.0014E+00  -1.6231E-01
   2.0015E+00  -1.6175E-01
   2.0016E+00  -1.6115E-01
   2.0017E+00  -1.6019E-01
   2.0019E+00  -1.6008E-01
   2.0021E+00  -1.5976E-01
   2.0024E+00  -1.5921E-01
   2.0027E+00  -1.5840E-01
   2.0032E+00  -1.5736E-01
   2.0036E+00  -1.5610E-01
   2.0040E+00  -1.5478E-01
   2.0043E+00  -1.5383E-01
   2.0045E+00  -1.5302E-01
   2.0046E+00  -1.5241E-01
   2.0047E+00  -1.5212E-01
   2.0048E+00  -1.5217E-01
   2.0049E+00  -1.5233E-01
   2.0051E+00  -1.5238E-01
   2.0054E+00  -1.5230E-01
   2.0058E+00  -1.5206E-01
   2.0063E+00  -1.5162E-01
   2.0069E+00  -1.5095E-01
   2.0069E+00  -1.4968E-01
   2.0069E+00  -1.4366E-01
   2.0070E+00  -1.4366E-01
   2.0070E+00  -1.4366E-01
   2.0070E+00  -1.4366E-01
   2.0070E+00  -1.4366E-01
   2.0070E+00  -1.4366E-01
   2.0070E+00  -1.4367E-01
   2.0070E+00  -1.4367E-01
   2.0070E+00  -1.4367E-01
   2.0070E+00  -1.4367E-01
   2.0070E+00  -1.4366E-01
   2.0070E+00  -1.4365E-01
   2.0070E+00  -1.4364E-01
   2.0070E+00  -1.4363E-01
   2.0070E+00  -1.4556E-01
   2.0070E+00  -1.4770E-01
   2.0071E+00  -1.4881E-01
   2.0071E+00  -1.4936E-01
   2.0072E+00  -1.4943E-01
   2.0074E+00  -1.4948E-01
   2.0077E+00  -1.4937E-01
   2.0082E+00  -1.4927E-01
   2.0086E+00  -1.4844E-01
   2.0088E+00  -1.4761E-01
   2.0092E+00  -1.4769E-01
   2.0098E+00  -1.4782E-01
   2.0098E+00  -1.4681E-01
   2.0098E+00  -1.4187E-01
   2.0098E+00  -1.4187E-01
   2.0098E+00  -1.4187E-01
   2.0098E+00  -1.4187E-01
   2.0098E+00  -1.4187E-01
   2.0098E+00  -1.4186E-01
   2.0098E+00  -1.4186E-01
   2.0099E+00  -1.4388E-01
   2.0099E+00  -1.4581E-01
   2.0100E+00  -1.4678E-01
   2.0102E+00  -1.4720E-01
   2.0102E+00  -1.5206E-01
   2.0102E+00  -2.5458E-01
   2.0102E+00  -2.5459E-01
   2.0102E+00  -2.5460E-01
   2.0102E+00  -2.5462E-01
   2.0102E+00  -2.5463E-01
   2.0102E+00  -2.5464E-01
   2.0102E+00  -2.5466E-01
   2.0102E+00  -2.5468E-01
   2.0102E+00  -2.5470E-01
   2.0102E+00  -2.5473E-01
   2.0102E+00  -2.5475E-01
   2.0102E+00  -2.5478E-01
   2.0102E+00  -2.5482E-01
   2.0102E+00  -2.5487E-01
   2.0102E+00  -2.6459E-01
   2.0102E+00  -2.6466E-01
   2.0102E+00  -2.6474E-01
   2.0102E+00  -2.6484E-01
   2.0102E+00  -2.6495E-01
   2.0102E+00  -2.6509E-01
   2.0102E+00  -2.6526E-01
   2.0102E+00  -2.6546E-01
   2.0102E+00  -2.5845E-01
   2.0102E+00  -2.1260E-01
   2.0102E+00  -1.7468E-01
   2.0102E+00  -1.5559E-01
   2.0102E+00  -1.4239E-01
   2.0102E+00  -1.4239E-01
   2.0102E+00  -1.4239E-01
   2.0102E+00  -1.4240E-01
   2.0102E+00  -1.4239E-01
   2.0102E+00  -1.4240E-01
   2.0102E+00  -1.4239E-01
   2.0102E+00  -1.4239E-01
   2.0102E+00  -1.4239E-01
   2.0102E+00  -1.4239E-01
   2.0102E+00  -1.4237E-01
   2.0102E+00  -1.4237E-01
   2.0102E+00  -1.4236E-01
   2.0102E+00  -1.4237E-01
   2.0102E+00  -1.4234E-01
   2.0102E+00  -1.4234E-01
   2.0103E+00  -1.4629E-01
   2.0103E+00  -1.4790E-01
   2.0103E+00  -1.5149E-01
   2.0103E+00  -1.5020E-01
   2.0103E+00  -1.4232E-01
   2.0103E+00  -1.4654E-01
   2.0103E+00  -1.4869E-01
