# Trace from filein = ./62270n01                                                                                                                   
#   time        TE0                                                                                                                          
   2.0000E+00   9.9853E-01
   2.0000E+00   9.9772E-01
   2.0000E+00   9.9685E-01
   2.0001E+00   9.9591E-01
   2.0001E+00   9.9492E-01
   2.0001E+00   9.9391E-01
   2.0001E+00   9.9289E-01
   2.0001E+00   9.9187E-01
   2.0001E+00   9.9085E-01
   2.0001E+00   9.8985E-01
   2.0001E+00   9.8886E-01
   2.0002E+00   9.8789E-01
   2.0002E+00   9.8693E-01
   2.0002E+00   9.8599E-01
   2.0002E+00   9.8505E-01
   2.0002E+00   9.8410E-01
   2.0002E+00   9.8311E-01
   2.0003E+00   9.8206E-01
   2.0003E+00   9.8091E-01
   2.0003E+00   9.7960E-01
   2.0003E+00   9.7841E-01
   2.0004E+00   9.7679E-01
   2.0004E+00   9.7624E-01
   2.0005E+00   9.7769E-01
   2.0006E+00   9.8004E-01
   2.0006E+00   9.8237E-01
   2.0006E+00   9.8475E-01
   2.0007E+00   9.8701E-01
   2.0007E+00   9.8946E-01
   2.0008E+00   9.9203E-01
   2.0008E+00   9.9484E-01
   2.0009E+00   9.9796E-01
   2.0009E+00   1.0014E+00
   2.0010E+00   1.0051E+00
   2.0011E+00   1.0090E+00
   2.0012E+00   1.0132E+00
   2.0013E+00   1.0177E+00
   2.0014E+00   1.0226E+00
   2.0015E+00   1.0281E+00
   2.0016E+00   1.0341E+00
   2.0017E+00   1.0417E+00
   2.0019E+00   1.0504E+00
   2.0021E+00   1.0611E+00
   2.0024E+00   1.0749E+00
   2.0027E+00   1.0925E+00
   2.0032E+00   1.1129E+00
   2.0036E+00   1.1329E+00
   2.0040E+00   1.1483E+00
   2.0043E+00   1.1606E+00
   2.0045E+00   1.1689E+00
   2.0046E+00   1.1740E+00
   2.0047E+00   1.1776E+00
   2.0048E+00   1.1814E+00
   2.0049E+00   1.1864E+00
   2.0051E+00   1.1935E+00
   2.0054E+00   1.2038E+00
   2.0058E+00   1.2182E+00
   2.0063E+00   1.2364E+00
   2.0069E+00   1.2551E+00
   2.0069E+00   1.2560E+00
   2.0069E+00   1.2561E+00
   2.0070E+00   1.2562E+00
   2.0070E+00   1.2563E+00
   2.0070E+00   1.2563E+00
   2.0070E+00   1.2564E+00
   2.0070E+00   1.2564E+00
   2.0070E+00   1.2564E+00
   2.0070E+00   1.2565E+00
   2.0070E+00   1.2566E+00
   2.0070E+00   1.2568E+00
   2.0070E+00   1.2570E+00
   2.0070E+00   1.2573E+00
   2.0070E+00   1.2575E+00
   2.0070E+00   1.2578E+00
   2.0070E+00   1.2581E+00
   2.0070E+00   1.2587E+00
   2.0071E+00   1.2596E+00
   2.0071E+00   1.2612E+00
   2.0072E+00   1.2638E+00
   2.0074E+00   1.2684E+00
   2.0077E+00   1.2761E+00
   2.0082E+00   1.2891E+00
   2.0086E+00   1.2983E+00
   2.0088E+00   1.3030E+00
   2.0092E+00   1.3111E+00
   2.0098E+00   1.3244E+00
   2.0098E+00   1.3244E+00
   2.0098E+00   1.3245E+00
   2.0098E+00   1.3245E+00
   2.0098E+00   1.3246E+00
   2.0098E+00   1.3247E+00
   2.0098E+00   1.3249E+00
   2.0098E+00   1.3252E+00
   2.0098E+00   1.3257E+00
   2.0099E+00   1.3267E+00
   2.0099E+00   1.3283E+00
   2.0100E+00   1.3310E+00
   2.0102E+00   1.3356E+00
   2.0102E+00   1.2510E+00
   2.0102E+00   1.2510E+00
   2.0102E+00   1.2510E+00
   2.0102E+00   1.2510E+00
   2.0102E+00   1.2510E+00
   2.0102E+00   1.2510E+00
   2.0102E+00   1.2510E+00
   2.0102E+00   1.2510E+00
   2.0102E+00   1.2510E+00
   2.0102E+00   1.2510E+00
   2.0102E+00   1.2510E+00
   2.0102E+00   1.2510E+00
   2.0102E+00   1.2510E+00
   2.0102E+00   1.2510E+00
   2.0102E+00   1.2510E+00
   2.0102E+00   1.2511E+00
   2.0102E+00   1.2511E+00
   2.0102E+00   1.2511E+00
   2.0102E+00   1.2512E+00
   2.0102E+00   1.2512E+00
   2.0102E+00   1.2513E+00
   2.0102E+00   1.2513E+00
   2.0102E+00   1.2514E+00
   2.0102E+00   1.2515E+00
   2.0102E+00   1.2516E+00
   2.0102E+00   1.2519E+00
   2.0102E+00   1.2519E+00
   2.0102E+00   1.2519E+00
   2.0102E+00   1.2519E+00
   2.0102E+00   1.2520E+00
   2.0102E+00   1.2520E+00
   2.0102E+00   1.2520E+00
   2.0102E+00   1.2520E+00
   2.0102E+00   1.2520E+00
   2.0102E+00   1.2520E+00
