# Trace from filein = ./62270n01                                                                                                                   
#   time        TI0                                                                                                                          
   2.0000E+00   9.9535E-01
   2.0000E+00   9.9272E-01
   2.0000E+00   9.8987E-01
   2.0001E+00   9.8681E-01
   2.0001E+00   9.8360E-01
   2.0001E+00   9.8031E-01
   2.0001E+00   9.7701E-01
   2.0001E+00   9.7371E-01
   2.0001E+00   9.7045E-01
   2.0001E+00   9.6723E-01
   2.0001E+00   9.6406E-01
   2.0002E+00   9.6097E-01
   2.0002E+00   9.5793E-01
   2.0002E+00   9.5495E-01
   2.0002E+00   9.5199E-01
   2.0002E+00   9.4899E-01
   2.0002E+00   9.4590E-01
   2.0003E+00   9.4263E-01
   2.0003E+00   9.3907E-01
   2.0003E+00   9.3503E-01
   2.0003E+00   9.3808E-01
   2.0004E+00   9.4200E-01
   2.0004E+00   9.4608E-01
   2.0005E+00   9.4928E-01
   2.0006E+00   9.5118E-01
   2.0006E+00   9.5229E-01
   2.0006E+00   9.5322E-01
   2.0007E+00   9.5411E-01
   2.0007E+00   9.5514E-01
   2.0008E+00   9.5627E-01
   2.0008E+00   9.5751E-01
   2.0009E+00   9.5886E-01
   2.0009E+00   9.6027E-01
   2.0010E+00   9.6172E-01
   2.0011E+00   9.6318E-01
   2.0012E+00   9.6466E-01
   2.0013E+00   9.6619E-01
   2.0014E+00   9.6777E-01
   2.0015E+00   9.6943E-01
   2.0016E+00   9.7113E-01
   2.0017E+00   9.7192E-01
   2.0019E+00   9.7273E-01
   2.0021E+00   9.7362E-01
   2.0024E+00   9.7469E-01
   2.0027E+00   9.7606E-01
   2.0032E+00   9.7777E-01
   2.0036E+00   9.7958E-01
   2.0040E+00   9.8104E-01
   2.0043E+00   9.8225E-01
   2.0045E+00   9.8310E-01
   2.0046E+00   9.8363E-01
   2.0047E+00   9.8402E-01
   2.0048E+00   9.8442E-01
   2.0049E+00   9.8494E-01
   2.0051E+00   9.8565E-01
   2.0054E+00   9.8672E-01
   2.0058E+00   9.8838E-01
   2.0063E+00   9.9076E-01
   2.0069E+00   9.9347E-01
   2.0069E+00   9.9359E-01
   2.0069E+00   9.9361E-01
   2.0070E+00   9.9363E-01
   2.0070E+00   9.9365E-01
   2.0070E+00   9.9365E-01
   2.0070E+00   9.9366E-01
   2.0070E+00   9.9366E-01
   2.0070E+00   9.9367E-01
   2.0070E+00   9.9368E-01
   2.0070E+00   9.9370E-01
   2.0070E+00   9.9374E-01
   2.0070E+00   9.9379E-01
   2.0070E+00   9.9384E-01
   2.0070E+00   9.9389E-01
   2.0070E+00   9.9394E-01
   2.0070E+00   9.9400E-01
   2.0070E+00   9.9407E-01
   2.0071E+00   9.9417E-01
   2.0071E+00   9.9432E-01
   2.0072E+00   9.9457E-01
   2.0074E+00   9.9502E-01
   2.0077E+00   9.9590E-01
   2.0082E+00   9.9768E-01
   2.0086E+00   9.9903E-01
   2.0088E+00   9.9977E-01
   2.0092E+00   1.0011E+00
   2.0098E+00   1.0036E+00
   2.0098E+00   1.0036E+00
   2.0098E+00   1.0036E+00
   2.0098E+00   1.0036E+00
   2.0098E+00   1.0036E+00
   2.0098E+00   1.0037E+00
   2.0098E+00   1.0037E+00
   2.0098E+00   1.0038E+00
   2.0098E+00   1.0039E+00
   2.0099E+00   1.0042E+00
   2.0099E+00   1.0047E+00
   2.0100E+00   1.0054E+00
   2.0102E+00   1.0067E+00
   2.0102E+00   9.7520E-01
   2.0102E+00   9.7520E-01
   2.0102E+00   9.7520E-01
   2.0102E+00   9.7520E-01
   2.0102E+00   9.7520E-01
   2.0102E+00   9.7520E-01
   2.0102E+00   9.7521E-01
   2.0102E+00   9.7521E-01
   2.0102E+00   9.7521E-01
   2.0102E+00   9.7521E-01
   2.0102E+00   9.7521E-01
   2.0102E+00   9.7521E-01
   2.0102E+00   9.7522E-01
   2.0102E+00   9.7522E-01
   2.0102E+00   9.7522E-01
   2.0102E+00   9.7521E-01
   2.0102E+00   9.7518E-01
   2.0102E+00   9.7515E-01
   2.0102E+00   9.7512E-01
   2.0102E+00   9.7509E-01
   2.0102E+00   9.7505E-01
   2.0102E+00   9.7500E-01
   2.0102E+00   9.7494E-01
   2.0102E+00   9.7487E-01
   2.0102E+00   9.7480E-01
   2.0102E+00   9.7470E-01
   2.0102E+00   9.7470E-01
   2.0102E+00   9.7470E-01
   2.0102E+00   9.7469E-01
   2.0102E+00   9.7469E-01
   2.0102E+00   9.7469E-01
   2.0102E+00   9.7469E-01
   2.0102E+00   9.7469E-01
   2.0102E+00   9.7469E-01
   2.0102E+00   9.7469E-01
   2.0102E+00   9.7469E-01
   2.0102E+00   9.7469E-01
   2.0102E+00   9.7468E-01
   2.0102E+00   9.7468E-01
   2.0102E+00   9.7467E-01
   2.0102E+00   9.7465E-01
   2.0102E+00   9.7463E-01
   2.0102E+00   9.7460E-01
   2.0103E+00   9.7456E-01
   2.0103E+00   9.7453E-01
   2.0103E+00   9.7452E-01
   2.0103E+00   9.7451E-01
   2.0103E+00   9.7447E-01
   2.0103E+00   9.7444E-01
   2.0103E+00   9.7443E-01
   2.0103E+00   9.7442E-01
   2.0103E+00   9.7442E-01
   2.0104E+00   9.7444E-01
