# Trace from filein = ./62270n01                                                                                                                   
#   time        WTOT                                                                                                                         
   2.0000E+00   1.5881E-02
   2.0000E+00   1.5896E-02
   2.0000E+00   1.5913E-02
   2.0001E+00   1.5932E-02
   2.0001E+00   1.5953E-02
   2.0001E+00   1.5975E-02
   2.0001E+00   1.5998E-02
   2.0001E+00   1.6023E-02
   2.0001E+00   1.6048E-02
   2.0001E+00   1.6074E-02
   2.0001E+00   1.6100E-02
   2.0002E+00   1.6127E-02
   2.0002E+00   1.6154E-02
   2.0002E+00   1.6182E-02
   2.0002E+00   1.6211E-02
   2.0002E+00   1.6240E-02
   2.0002E+00   1.6273E-02
   2.0003E+00   1.6308E-02
   2.0003E+00   1.6347E-02
   2.0003E+00   1.6394E-02
   2.0003E+00   1.6454E-02
   2.0004E+00   1.6537E-02
   2.0004E+00   1.6623E-02
   2.0005E+00   1.6684E-02
   2.0006E+00   1.6708E-02
   2.0006E+00   1.6713E-02
   2.0006E+00   1.6714E-02
   2.0007E+00   1.6715E-02
   2.0007E+00   1.6721E-02
   2.0008E+00   1.6730E-02
   2.0008E+00   1.6743E-02
   2.0009E+00   1.6758E-02
   2.0009E+00   1.6776E-02
   2.0010E+00   1.6795E-02
   2.0011E+00   1.6815E-02
   2.0012E+00   1.6837E-02
   2.0013E+00   1.6862E-02
   2.0014E+00   1.6889E-02
   2.0015E+00   1.6919E-02
   2.0016E+00   1.6953E-02
   2.0017E+00   1.6988E-02
   2.0019E+00   1.7030E-02
   2.0021E+00   1.7084E-02
   2.0024E+00   1.7159E-02
   2.0027E+00   1.7259E-02
   2.0032E+00   1.7379E-02
   2.0036E+00   1.7497E-02
   2.0040E+00   1.7587E-02
   2.0043E+00   1.7658E-02
   2.0045E+00   1.7704E-02
   2.0046E+00   1.7732E-02
   2.0047E+00   1.7750E-02
   2.0048E+00   1.7771E-02
   2.0049E+00   1.7800E-02
   2.0051E+00   1.7842E-02
   2.0054E+00   1.7906E-02
   2.0058E+00   1.8001E-02
   2.0063E+00   1.8124E-02
   2.0069E+00   1.8254E-02
   2.0069E+00   1.8259E-02
   2.0069E+00   1.8259E-02
   2.0070E+00   1.8260E-02
   2.0070E+00   1.8260E-02
   2.0070E+00   1.8260E-02
   2.0070E+00   1.8260E-02
   2.0070E+00   1.8260E-02
   2.0070E+00   1.8260E-02
   2.0070E+00   1.8260E-02
   2.0070E+00   1.8260E-02
   2.0070E+00   1.8261E-02
   2.0070E+00   1.8262E-02
   2.0070E+00   1.8262E-02
   2.0070E+00   1.8263E-02
   2.0070E+00   1.8264E-02
   2.0070E+00   1.8265E-02
   2.0070E+00   1.8269E-02
   2.0071E+00   1.8276E-02
   2.0071E+00   1.8289E-02
   2.0072E+00   1.8313E-02
   2.0074E+00   1.8354E-02
   2.0077E+00   1.8425E-02
   2.0082E+00   1.8546E-02
   2.0086E+00   1.8630E-02
   2.0088E+00   1.8671E-02
   2.0092E+00   1.8742E-02
   2.0098E+00   1.8866E-02
   2.0098E+00   1.8867E-02
   2.0098E+00   1.8867E-02
   2.0098E+00   1.8867E-02
   2.0098E+00   1.8867E-02
   2.0098E+00   1.8867E-02
   2.0098E+00   1.8868E-02
   2.0098E+00   1.8869E-02
   2.0098E+00   1.8871E-02
   2.0099E+00   1.8875E-02
   2.0099E+00   1.8884E-02
   2.0100E+00   1.8901E-02
   2.0102E+00   1.8932E-02
   2.0102E+00   1.8934E-02
   2.0102E+00   1.8934E-02
   2.0102E+00   1.8935E-02
   2.0102E+00   1.8935E-02
   2.0102E+00   1.8936E-02
   2.0102E+00   1.8936E-02
   2.0102E+00   1.8937E-02
   2.0102E+00   1.8938E-02
   2.0102E+00   1.8939E-02
   2.0102E+00   1.8940E-02
   2.0102E+00   1.8941E-02
   2.0102E+00   1.8943E-02
   2.0102E+00   1.8944E-02
   2.0102E+00   1.8947E-02
   2.0102E+00   1.8949E-02
   2.0102E+00   1.8953E-02
   2.0102E+00   1.8958E-02
   2.0102E+00   1.8963E-02
   2.0102E+00   1.8970E-02
   2.0102E+00   1.8978E-02
   2.0102E+00   1.8987E-02
   2.0102E+00   1.8998E-02
   2.0102E+00   1.9012E-02
   2.0102E+00   1.9028E-02
   2.0102E+00   1.9040E-02
   2.0102E+00   1.9050E-02
   2.0102E+00   1.9050E-02
   2.0102E+00   1.9050E-02
   2.0102E+00   1.9050E-02
   2.0102E+00   1.9050E-02
   2.0102E+00   1.9050E-02
   2.0102E+00   1.9050E-02
   2.0102E+00   1.9050E-02
   2.0102E+00   1.9050E-02
   2.0102E+00   1.9050E-02
   2.0102E+00   1.9050E-02
   2.0102E+00   1.9051E-02
   2.0102E+00   1.9051E-02
   2.0102E+00   1.9051E-02
   2.0102E+00   1.9051E-02
   2.0102E+00   1.9051E-02
   2.0102E+00   1.9051E-02
   2.0102E+00   1.9051E-02
   2.0103E+00   1.9053E-02
   2.0103E+00   1.9056E-02
   2.0103E+00   1.9058E-02
   2.0103E+00   1.9060E-02
   2.0103E+00   1.9061E-02
   2.0103E+00   1.9063E-02
   2.0103E+00   1.9066E-02
   2.0103E+00   1.9072E-02
   2.0103E+00   1.9077E-02
   2.0104E+00   1.9084E-02
   2.0104E+00   1.9089E-02
   2.0104E+00   1.9096E-02
   2.0105E+00   1.9103E-02
   2.0105E+00   1.9111E-02
   2.0105E+00   1.9118E-02
   2.0106E+00   1.9127E-02
   2.0106E+00   1.9137E-02
   2.0107E+00   1.9147E-02
   2.0107E+00   1.9157E-02
